deliberate|adj.深思熟虑的；故意的；从容不迫的; v.仔细考虑；研讨
decent|adj.相当好的；体面的；适当的；正派的
innumerable|adj.无数的；数不清的
retail|n.零售; vt.零售；传述; adv.以零售形式
ISIS|abbr.[美]废钢铁协会(=InstituteofScrapIronandSteel); Isis.; n.伊希斯(埃及神话中的生育女神)
certify|vt.证明；保证；证实；颁发证书
scorn|n.轻蔑；奚落；笑柄; v.轻蔑；鄙视；嘲弄；不屑
inventory|n.详细目录；存货(清单); vt.编制(详细目录)
bid|v.（买方）出价；投标；吩咐；叫牌; n.出价；努力；叫牌
scrutiny|n.监视；细看；周密的调查
bewilder|vt.使迷惑；使...不知所措
pearl|n.珍珠; v.(用珍珠)装饰；呈珍珠状; adj.珍珠般的
predominant|adj.主要的；占优势的；显著的
prevalent|adj.流行的；普遍的
ignorance|n.无知；愚昧
jail|n.监牢；监狱；拘留所; vt.监禁；下狱
porch|n.门廊
commitment|n.承诺；保证；信奉；献身；委任；交押
participant|n.参与者
overlap|vt.重叠；重复; vi.有重叠部分; n.重叠部分；重复
illusion|n.错觉；幻觉；错误的信仰(或观念)
reproach|n.责备；耻辱; v.责备；申斥
gid|n.[兽医]眩倒病
RI|abbr.折光指数（=refractiveindex）; abbr.罗得岛（=RhodeIsland）; abbr.无线电惯性制导航系统(=Radio-InertialGuidanceSystem)
fuss|n.大惊小怪；小题大作；强烈不满或争吵; vi.无事自扰；焦急；对小事激动; vt.扰乱；使焦躁
is|v.是（be的第三人称单数一般现在时）
wrench|n.扳钳，扳手；猛扭；痛苦; vt.扭伤；挣脱; vi.猛扭；曲解
junction|n.连接；会合处；交叉点
ascend|v.上升；攀登
consecutive|adj.连续的；连贯的
cylinder|n.圆筒；汽缸；圆柱体
chord|n.弦；和弦；情绪
clamp|n.夹子；螺丝钳; vt.夹住；强加；压制
PEIT|彩超引导无水酒精瘤内注射
jerk|v.急动；猛拉; n.猛拉；急动；笨蛋；蠢人; adj.颠簸不稳的
analytic|adj.分析的；分解的
INF|abbr.步兵团(=infantry); abbr.不定式(=infinitive); abbr.中程核力量(=intermediate-rangenuclearforces)
esthetic|adj.审美的；美学的; n.美学；审美观; =aesthetic.
flutter|n.摆动；振翼；烦扰; vi.摆动；振翼；烦扰; vt.使心烦；使焦虑
Vaiz|瓦伊兹
tactics|n.策略；战术
appraisal|n.估计；评估
hind|adj.后部的；在后的; n.雌鹿；石斑鱼
norm|n.规范；标准
augment|vt.增加; n.增加；补充物
exquisite|adj.精挑细选的；精致的；细腻的；强烈的; n.过分在意外表着装的人
odor|n.气味；名声；气息
agenda|n.议事日程
semina|n.胚种；塞米纳
wretched|adj.可怜的；不幸的；悲惨的；质量差的；恶劣的；卑鄙的
counterpart|n.职务相当的人；对应物；相似之物；副本
tent|n.帐篷; v.住帐篷；宿营
refrain|v.抑制；避免；克制; n.副歌；叠句；重复
counsel|n.劝告；建议；诉讼律师; v.提供建议；劝告
commodity|n.商品；日用品；有价值之物
dispatch|v.派遣；发送；迅速完成；处死; n.急件；派遣；发送；新闻报道
deem|v.认为；视作
Treit|特赖特
LEM|n.激光能量监控器(月球探测飞船)
impulse|n.冲动；心血来潮；神经冲动；[物]冲量；[电]脉冲; vt.推动
feeble|adj.虚弱的；无力的
seemingly|adv.表面上；似乎；看起来
pa|n.爸爸
stationary|adj.静止的，不动的；稳定的; n.驻军
STR|abbr.同步发射机接收机(=synchronoustransmitterreceiver)
commend|v.推荐；称赞；嘉奖；把...托付给
embody|vt.使具体化；包含；代表，体现；使(精神)肉体化
luminous|adj.发光的；发亮的；清楚的；明白易懂的
motel|n.汽车旅馆
blossom|n.花；开花；全盛期; vi.开花；成长
trait|n.特征；特点；少许；一笔
Renaissance|n.文艺复兴；再生
mend|vt.修理；修补；改进; vi.改过自新；改进；痊愈; n.修补；改进；修补处
energetic|adj.精力旺盛的；有力的；能量的
DV|abbr.煤油机船（=dieselvessel）; abbr.数码摄录机（=digitalvideo）
panic|n.惊慌；恐慌; v.使…惊慌；感到恐慌; adj.恐慌的；惊慌的
UIN|宇胤(名,日本)
saturate|v.使浸透；使充满；使饱和; adj.浸透的；饱和的；深颜色的
innovation|n.创新；革新
SPE|abbr.塑料工程师学会(=SocietyofPetroleumEngineers); abbr.专用设备(=SpecialPurposeEquipment)
confidential|adj.秘密的；机密的；表示信任的；获信赖的
ment|suff.表示“结果；产物”; suff.表示“方法”; suff.表示“行为”; suff.表示“状态”
Veit|法伊特
peri|n.妖精；仙女；美女; pref.周围；附近；环绕
premature|adj.提前的；过早的；早产的; n.早产儿；早熟
criterion|n.标准；准则
tenant|n.房客；佃户；承租人；占用者; vt.租赁；租借
competence|n.能力；胜任；管辖权
LES|abbr.发射脱离系统(=LaunchEscapeSystem); les.; abbr.女同性恋者（=lesbian）
GM|abbr.总经理(=generalmanager; abbr.美国通用汽车公司(=GeneralMotors)
expedition|n.远征；探险队；迅速
eclipse|n.日或月食；丧失；没落; vt.形成日或月食；使...黯然失色
budget|n.预算; vt.编预算；为...做预算; vi.节省开支; adj.廉价的；不贵的
foam|n.泡沫；汗; v.起泡沫；吐口沫；愤怒；沸腾
Peik|派克
ki|n.气(道教或其它中国思想中认为存在于万物中的生命力); abbr.[域]基里巴斯(=Kiribati)
clash|n.冲突；抵触；撞击声; vt.使…发出撞击声; vi.引起冲突
anniversary|n.周年纪念；周年纪念日
antique|adj.古代的；古老的；过时的; n.古董；古物
overthrow|v.推翻；打倒；颠覆；[体]高投; n.推翻；瓦解；颠覆；[体]高投
reside|vi.居住；属于；存在
NI|abbr.国民保险制度(=NationalInsurance)
sociology|n.社会学；群落生态学
ADV|abbr.副词（=adverb）
Iks|慢迟钾整流器
anonymous|adj.匿名的；无名的；没特色的
IL|abbr.伊利诺斯（美国州名）（=Illinois）
metropolitan|adj.大都市的；大主教区的; n.大都市的居民；大主教
generalize|v.概括；归纳；使一般化
distort|vt.歪曲；扭曲；变形; vi.歪曲
ideology|n.意识形态；空论；观念学
perception|n.观念；洞察力；认识能力
corps|n.军团；兵团；队
consensus|n.一致；同意；共识
Destri|德斯特里
tuck|v.打摺；卷起；收拢；藏起；大吃; n.缝摺；船底后端；食品
BR|英国铁路公司
basement|n.根基；地下室
diagnose|v.判断；诊断(疾病)
SL|abbr.透镜分光计(=lensspectrometer); abbr.海平面(=sealevel)
initiate|vt.开始；创始；启蒙；介绍加入; n.创始人; adj.新加入的；启蒙的
Greid|格赖德
pled|动词plead的过去式和过去分词形式
extinguish|vt.熄灭；扑灭；消灭；使破灭；偿清
obligation|n.义务；责任
justification|n.辩护；正当的理由
accessory|n.附件；配件；同谋; adj.辅助的；附属的；同谋的
Baidu|n.百度（搜索引擎名）
TA|abbr.技术援助(=TechnicalAssistance); abbr.助教(=teachingassistant); int.谢谢
stitch|n.一针；疼痛；碎布条; v.缝合
grim|adj.严厉的；冷酷的；可怕的；不愉快的
remnant|n.残余；残剩余；残存者；零头; adj.剩余的
DU|abbr.贫铀（=DepletedUranium）
extinct|adj.灭绝的；熄灭的；消亡的
terrace|n.平台；阳台；梯田; vt.使成梯田；给...建阳台
majesty|n.最高权威；威严；庄严; Majesty:陛下.
lid|n.盖子；眼睑; vt.给...装盖子
correspondence|n.通信；信件；相符，相似；一致，相当
allege|vt.断言；宣称
batch|n.一批；一炉；一次所制之量; v.分批处理
momentum|n.势头；动力；（物理）动量
royalty|n.皇家；皇族; n.版税
flit|v.轻快地飞；掠过；搬家(尤指为躲债); n.掠过；搬家
inflict|vt.使遭受；施以；加害；折磨
highlight|vt.强调；照亮；加亮；使...显得重要；使突出; n.加亮区；精彩部分；最重要的细节或事件；闪光点; [计算机]醒目
sovereign|n.元首；君主；最高统治者；金镑; adj.具有主权的；至高无上的；极好的
contend|v.竞争；争斗；争辩；坚决主张
probe|n.调查；查究；探针；探测器; v.用探针测；探测；详细调查
resent|vt.恨；生气
linear|adj.直线的；长度的；线性的
dai|Dai.; n.泰语; adj.泰语的; =Tai.
FTW|=FreeTradeWharf自由贸易码头
mall|n.商业街；购物中心；林荫大道
blit|n.传图
it|pron.它
disguise|vt.掩饰；假装；假扮; n.伪装；伪装物
MPL|n.维修部件清单(制造部件清单)
qualification|n.资格；限制；资历
fantasy|n.幻想; v.幻想
rot|n.腐烂；腐蚀；败坏；胡话; v.腐烂；使...枯朽；消瘦
Zn|n.[化]元素锌的符号
regime|n.政体；政权；制度; n.养生法(=regimen)
enterprise|n.企业；事业；进取心；谋划
pledge|vt.发誓；保证；以...抵押；向...祝酒; n.保证；抵押；誓言；抵押品
dissipate|v.驱散；消散；散去；浪费；挥霍；放荡
spontaneous|adj.自发的，自然的，本能的；自然产生的
numerical|adj.数字的；用数字表示的
diet|n.日常食物；规定饮食；节食; n.（日本等国的）国会; v.节食；照规定饮食；喂食
flaw|n.瑕疵；缺陷；破绽；裂缝; v.使破裂；有瑕疵
adhere|vi.遵守；坚持；粘附
compartment|n.间隔；个别室；卧车包房; vt.划分
grin|v.露齿而笑；(以咧嘴笑来)表示; n.露齿笑；咧嘴笑
penalty|n.处罚；惩罚；不利；罚球
sentiment|n.情绪；感情；观点；感伤
ISI|n.工业标准项目(钢铁学会)
bias|n.偏见；偏爱；斜纹; vt.使偏心
disp|abbr.诊疗所；药剂室(=dispensary); abbr.文件信息服务程序(=DocumentInformationServiceProgram)
classic|n.杰作；古典作品；第一流艺术家; adj.最优秀的；传统的；古典的
rip|v.撕裂；扯开; n.裂口；裂缝；撕裂
vulgar|adj.通俗的；粗俗的；乡土的; n.平民，百姓
peer|n.同辈；同等的人；贵族; vi.凝视；窥视
sculpture|n.雕塑；雕刻; v.雕刻；雕塑；刻蚀；当雕刻师
disregard|vt.不顾；忽视; n.漠视；不理会
cite|vt.引用；传讯；表扬；举(例)
Pres|abbr.主席；总统(=President); abbr.现在(=present)
replacement|n.更换；接替者
sauce|n.酱汁；调味汁；无礼; vt.给...调味；使...增加趣味；对...无礼
notorious|adj.臭名昭著的
deficiency|n.缺乏；不足；缺陷；缺点
minimal|adj.最小的；最低限度的
acute|adj.严重的；敏锐的；急性的；剧烈的
therapy|n.疗法；治疗
agitation|n.激动；鼓动；搅动
crucial|adj.决定性的；关键的
Pt|abbr.[化]元素铂的符号（=platinum）
dilute|vt.稀释；冲淡; adj.冲淡的；稀释的
nim|v.偷；窃取; n.拿子游戏; abbr.核仪器插件标准；尼姆标准(=nuclearinstrumentmodule)
linger|vi.徘徊；逗留；消磨；漫步
avert|vt.转开；避免；防止
romance|n.浪漫史；爱情故事；冒险故事；传奇文学；虚构; vt.向…求爱; vi.讲虚构故事
Tein|咖啡碱,咖啡因,茶素
embed|v.(使)插入；(使)嵌入；深留脑中
METR|n.材料和工程试验反应堆(金属顶)
subscribe|vt.订阅；签名；支持；捐赠；同意
conscientious|adj.认真的；谨慎的；负责的
Teit|泰特
bonus|n.红利；意外所得之物；奖金；【篮】追加罚篮
enhance|vt.提高；增加；加强
tablet|n.药片；匾；片状物；平板电脑
coincide|vi.一致；同时发生；符合
tail|n.后部；尾巴；尾部；辫子；跟随者; (复）tails:燕尾服；(硬币的)反面; vt.跟踪；盯...的梢；为...装尾巴; vi.尾随；附于其后；逐渐减少
Sek|谢
ret|v.浸水使柔软；受潮湿腐烂; abbr.退休(=retired)
compliment|n.称赞；恭维；(复数)致意; vt.恭维；称赞
mess|n.混乱；混杂；脏乱；一份食品；粪便；（军队的）食堂; v.弄糟；弄乱；妨碍
liner|n.班轮；班机；邮轮; n.衬里
plausible|adj.似真实合理的；动听的；看起来有道理的，貌似可信的
intrinsic|adj.内在的；固有的；本质的
historian|n.历史学家；编史者
denote|vt.表示；象征
MB|abbr.兆位(=megabyte)
residential|adj.住宅的；居住的
bearing|n.轴承；举止；忍受；支撑物；影响
speculate|vt.推测; vi.投机；深思
couch|n.长椅；睡椅；长沙发；兽穴; vt.表达；躺下; vi.埋伏；躺下
spacious|adj.宽敞的；广阔的
mi|n.大音阶的第三音
crisp|adj.脆的；干脆的；卷曲的；明快的；(天气)干冷的; n.薯片；松脆物; v.(使)发脆；(使)卷曲
warrant|n.委任状；凭证；根据；正当理由; vt.担保；保证；辩解；授权
Beri|n.贝里(在尼日利亚；东经5&#186;44'北纬10&#186;17')
realistic|adj.现实的；现实主义的
coherent|adj.连贯的；有条理的；一致的；粘着的
mock|v.嘲弄；嘲笑；模仿; n.嘲笑；模仿；戏弄; adj.假的；伪装的；模拟的
midst|n.中间；当中; prep.在...当中(=amidst)
mobilize|vt.动员；调动；使移动；使流通; vi.动员起来
unanimous|adj.全体一致的；一致同意的
cue|n.暗示；提示；信号；（台球的）球杆; vt.给...提示；把...插入演出
iris|n.虹膜；鸢尾属植物; Iris.; n.[希神]彩虹女神
IRI|伊利(财富500强公司之一,总部所在地意大利,主要经营工业农业设备)
thesis|n.毕业论文；论文；论题；论点；命题
inland|adj.内陆的；国内的; adv.内陆地; n.内陆
bypass|vt.绕开；忽视; n.支路；旁道
bit|n.少量；小块；片刻；马嚼子；（烟头等的）咬嘴；钻头；钥匙齿；一角二分半钱；[计]比特; v.给（马等）上嚼口；约束; 动词bite的过去式和过去分词
FL|n.焰(易燃的；闪光；淹没；冲洗；尺朗伯；满负载)
refugee|n.难民
conceive|v.设想；想出；怀孕
physiological|adj.生理的；生理学的
IP|abbr.互联网协议; =(internetprotocol).
dais|n.讲台
acknowledge|vt.承认；告知收到；公认；表示感谢；注意到
seminar|n.研讨会；(大学的)研究班
activate|v.激活；使活动；起动
questionnaire|n.调查表；问卷
verdict|n.裁决；定论
decline|v.下降；减少；变弱；拒绝；倾斜; n.衰微；跌落；晚年
ns|abbr.纳秒(=Nanosecond); abbr.核动力船(=Nuclearship); abbr.新历(=NewStyle)
SID|abbr.电离层的突然骚扰(=suddenionosphericdisturbance)
eternal|adj.永久的；永恒的; n.永恒的事
bj|(=bencejonesproteintest)本周(氏)蛋白试验,轻链蛋白试验,(=bicepsjerk)二头肌反射,(=bielschowsky-jansky)比-詹二氏综合征
entity|n.实体；存在；本质
comply|vi.顺从；遵照；答应
ignite|vi.着火；燃烧; vt.点燃；使...燃烧；引发
indicative|adj.指示的；暗示的；【语】陈述的; n.陈述语气
tariff|n.关税；价目表; vt.交关税
distil|v.蒸馏；提取...的精华; =distill
burial|n.埋葬；葬礼；坟墓
perish|vi.毁灭；消失；腐烂; vt.毁灭；使死亡
Mai|abbr.多边投资协议(=MultilateralAgreementonInvestment)
copyright|n.版权；著作权; v.获得版权; adj.受版权保护的
skeleton|n.骨架；纲要；骨骼；骨瘦如柴的人或动物；家丑; adj.骨骼的
administer|vt.管理；执行；给与；用(药); vi.执行管理人职责；给与帮助
biography|n.传记
erupt|v.爆发；喷发；发疹
breakdown|n.崩溃；故障；衰弱；分类，明细；跺脚曳步舞
revenge|n.报仇；报复；报复心；雪耻机会; vt.报复；报仇
LS|abbr.左边（=leftside）; abbr.信笺已签名（=lettersigned）; abbr.图书馆学（=libraryscience）; abbr.盖印处（=Locussigilli）
concede|vt.承认；给予；让步；认输; vi.让步
smuggle|v.走私；偷运；偷带
Rik|n.里克(男名)
intellect|n.智力；理智；才智非凡的人；知识份子
implement|n.工具；器具；当工具的物品; vt.实施；执行；向...提供工具(或手段)
ELD|n.老年；古代; abbr.电子经济负载分配装置(=electricloaddispatcher)
saint|n.圣人；圣徒; vt.把...封为圣人
said|adj.上述的; v.动词say的过去式和过去分词形式，说，讲
IEIT|期望休止时间序
pore|n.毛孔；小孔; v.熟读；钻研；沉思
TIV|=Thermal-InsulatingInsulationValue绝热值,热隔绝值
hasty|adj.匆匆的；轻率的；急忙的
Paiz|派斯
declaration|n.宣言；宣布；申报
disastrous|adj.灾难性的；极糟的
testify|v.作证；证明；声明
skr|abbr.梵文；梵语(=Sanskrit)
exceptional|adj.异常的；例外的；特别的；杰出的
vent|n.排气口；火山口；发泄；表达; v.发泄；表达；排放
cellar|n.地窖；地下室; vt.把...藏入地窑
mid|adj.中间的；[语]央元音的; prep.在...的中间; abbr.移动互联网设备(=MobileInternetDevice)
pose|v.摆姿势；把...摆正位置；造成；提出；假装; n.姿态；姿势；装腔作势
legend|n.传说；传奇；图例
symposium|n.讨论会；酒会；论文集
chip|n.缺口；碎屑；油炸土豆条；薄片；筹码；芯片；（足球）高球；（高尔夫球）近穴球; v.形成（缺口）；切下；凿下；凑份子；打高球；近穴击球；将（土豆等）切条
reckless|adj.鲁莽的；不计后果的；大意的
corporate|adj.法人的；公司的；社团的；共同的；全体的
TWI|=TrainingwithinIndustry企业内(不脱产)训练
Dain|n.戴恩
surge|n.汹涌；波涛；猛增; v.汹涌；涌起；激增；[海]缆绳滑脱
sober|adj.清醒的；稳重的；沉着冷静的；颜色暗淡的; vt.使清醒；使沉着; vi.清醒；冷静下来
blunder|n.大错; v.失策；绊倒；弄糟
bleak|adj.萧瑟的；阴郁的；严寒的；无希望的
frustrate|vt.挫败；击败；使沮丧；使灰心; adj.无益的；挫败的；挫折的
accord|n.协议；一致；符合; v.与...一致；给予；调解
fracture|n.破碎；骨折; vt.破碎；破裂; vi.断裂
nominal|adj.名义上的；象征性的；名词性的; n.名词词组
bribe|n.贿赂；贿赂物; v.贿赂
recreation|n.消遣；娱乐
extravagant|adj.奢侈的；浪费的；过度的；大量的
supersonic|adj.超声波的；超音速的; n.超声波；超音速（飞机）
misery|n.痛苦；悲惨的境遇；苦难
Catholic|adj.天主教的；(catholic)普遍的；广泛的; n.天主教徒
VT|Vermont美国佛蒙特州邮编区号,VirginiaTech弗吉尼亚理工学院简称
quantitative|adj.数量的；定量的
asset|n.资产；优点；有用的东西
pave|vt.铺路；铺设；铺满；安排
hemisphere|n.半球
medieval|adj.中世纪的
vegetation|n.植物；草木；(植物)生长；【医】赘生物，赘疣，增殖体
fax|n.传真; v.传真
Leim|莱姆
offspring|n.后代；子孙；产物
EIL|n.符号部分出错
elapse|v.逝去；过去; n.（光阴）逝去
confusion|n.惶惑；混淆；混乱；不确定状态
brittle|adj.易碎的；尖利的；脆弱的; n.果仁薄脆糖
exempt|adj.免除的; vt.免除; n.免税者；被免除义务者
bai|n.【印度英语】女士；女仆；（Bai）白族（中国少数民族）；（Bai）白语（我国少数民族白族说的语言）
Lini|利妮
INST|abbr.立刻；瞬时（=instant）; abbr.学院（=institute）
morality|n.道德；美德；品行；道德观
layman|n.俗人(对僧侣而言)；门外汉
Feri|费里
FI|abbr.船方不负担装货费用(=FreeIn)
curriculum|n.全部课程；课程
preside|v.主持；任主席；统辖
fragile|adj.易碎的；脆的；精细的；虚弱的
circus|n.马戏团；马戏表演；竞技场；广场
TU|abbr.热量单位(=Thermalunit); abbr.传输单位(=Transmissionunit); abbr.工会(=Tradeunion)
murmur|v.低语；发出连续轻柔的声音；低声抱怨; n.低语；连续轻柔的声音；低声的抱怨；[医]心区杂音
revelation|n.揭露；泄露；发觉；启示
transition|n.转变；过渡
bracket|n.档次；括号；支架; vt.支撑；放在括号内；归入一类
sent|v.发送；派遣；使处于...的状态；放出；运输（动词send的过去式和过去分词）
denial|n.否认；拒绝
Ju|abbr.六月(=June)
lubricate|v.润滑；加润滑剂
hysterical|adj.歇斯底里的；异常兴奋的；十分可笑的
Sep|abbr.九月(=September)
multitude|n.大量；多数；群众
re|prep.关于; pref.再，重新; n.长音阶的第二音
Vik|n.维克(在挪威；东经12&#186;10'北纬65&#186;19')
Peti|佩季
idiom|n.成语；惯用语；方言；风格；特色
LN|n.液态氮(批号；自然对数)
clockwise|adj.顺时针方向的; adv.顺时针方向地
ensue|v.跟着发生；继起；因而产生
prev|abbr.上一个；先前的(=previous)
municipal|adj.市政的；市的; n.政府证券
recur|vi.重现；再发生
timely|adj.及时的；适时的; adv.及时的
Miks|米克斯
array|n.一系列；大批；数组；陈列，列队；盛装; vt.排列；部署；打扮
NiTi|镍钛合金
deteriorate|v.恶化；变质；衰退
fraud|n.欺骗；诈欺；骗子
symphony|n.交响乐
senator|n.参议员
led|v.引导；领先；带领（动词lead的过去式和过去分词）; abbr.发光二极管(=lightemittingdiode)
shatter|v.粉碎；毁坏；使震骇；使精疲力尽; n.碎片
survival|n.幸存；幸存者；生存；残存物，幸存物；【人类学】(失去原有意义、作用的)残存文化特征
foster|vt.领养；培养；促进；鼓励；抱有（希望等）; adj.收养的
subordinate|adj.下级的；次要的; n.属下；附属物; vt.使服从；把...放在次要
purify|v.(使）净化；（使）精炼；涤罪
DIF|n.二碘荧光素
SPI|n.业务出版物说明(现场特殊干扰)
Ilek|伊莱克
prospective|adj.预期的；未来的
vein|n.静脉；纹理；叶脉；岩脉; vt.使有脉络；用脉络装饰
longitude|n.经度
SEL|n.信号工程实验室(=SignalEngineeringLaboratories)
nutrition|n.营养
sue|vt.控告；起诉; vi.请求；起诉
ERI|n.工程研究所
UK|abbr.英国(=UnitedKingdom)
obedient|adj.服从的；顺从的
Krisp|克里斯普
polar|adj.两极的；对立的; n.极线；极性
mechanism|n.机制；原理; n.结构；机构；机械装置
strive|vi.奋斗；努力；力求；斗争
TER|abbr.阳台(=terrace); abbr.领土(=territory); pref.三倍的
in|prep.在...里；在...地方；在...期间；在...方面；进入...里面；处于...状态；穿着...；以...的方式; adv.在家；入；进；向里；在某地；并入；在某种关系中; adj.在里面的；新来的；执政的；时髦的; n.当权者；影响；达成目标的路径
limp|n.跛行; adj.柔软的；无力的；软弱的; vi.跛行；蹒跚
valve|n.瓣膜；真空管；阀门；电子管
bibliography|n.参考书目；文献学
NDL|=NationalDietLibrary国会图书馆[日]
grief|n.悲痛；忧伤
MEI|abbr.投资边际效率（=marginalefficiencyofinvestment）
commence|v.开始；着手；获得学位
miniature|adj.小型的；小规模的; n.缩图；小画像；小模型
glitter|n.灿烂；闪烁；辉耀；亮片; v.闪烁
courtesy|n.礼貌；好意
gorgeous|adj.华丽的；灿烂的；极好的
EG|abbr.例如（=exempligratia）; abbr.乙二醇(=ethyleneglycol)
locomotive|n.火车头；机车; adj.运动的；火车头的；旅行的
overhear|v.无意中听到；偷听
format|n.版式；设计; vt.使格式化；安排
reciprocal|adj.互惠的；相互的；互补的; n.相互；互惠；[数]倒数
escort|n.护送者；护航舰；陪伴者；陪游；妓女; vt.护送；陪伴
ambassador|n.大使；代表
ethics|n.道德规范；道德标准；伦理学
unemployment|n.失业；失业人数
disrupt|vt.干扰；打断；妨碍；使分裂；使破裂
ceramic|adj.陶器的; n.陶器；陶瓷学
intelligible|adj.可理解的；明白易懂的；清楚的
flare|n.闪光；闪光信号；[天]耀斑；(衣裙等)张开; v.闪光；闪耀；爆发；张开
alongside|adv.在旁边; prep.在...旁边
cautious|adj.谨慎的；十分小心的
simultaneous|adj.同时发生的；同步的
negligible|adj.可以忽略的；微不足道的
ambitious|adj.有雄心的；野心勃勃的；有抱负的
cherish|vt.珍爱；抱有；抚育
authentic|adj.真正的；真实的；可信的；可靠的
amend|vt.修正；改进
tackle|v.处理；对付；阻截(对方球员)；与…交涉; n.滑车；用具；铲球；(美式足球)拦截手
Haus|n.豪斯
plateau|n.高原；平稳；稳定状态; vi.到达平稳阶段
LUT|=LauncherUmbilicalTower发射器控制塔
vicious|adj.恶毒的；恶意的；剧烈的；堕落的
veto|n.否决；否决权; v.否决
KB|abbr.千字节(=kilobyte)
bull|n.公牛；股市看涨的人；警察; n.荒谬的话; n.教皇诏书; adj.公牛的；鲁莽的
manifest|vt.显示；证实；表露; adj.明白的；显然的; n.旅客名单；载货单
patent|n.专利；特许; vt.给予专利权; adj.专利的；显著的
tow|v.拖；拉；牵引; n.拖；拽；拖绳
presumably|adv.大概；据推测；可能
novelty|n.【C】新奇；小装饰; n.【U】新奇的事物；新奇的经验
discern|v.辨别；看出；察觉
concise|adj.简明的；简要的
paradox|n.悖论；似非而是的论点；自相矛盾的话
optimism|n.乐观；乐观主义
destiny|n.命运
STA|abbr.无线电台临时使用许可证(=specialtemporaryauthority); abbr.站(=station)
VIG|=VideoImageGenerator视频影象发生器
magnify|v.放大；夸大
deprive|vt.剥夺；失去；免职
versatile|adj.多才多艺的；通用的；多功能的
foremost|adj.最重要的；最初的; adv.在最前面
random|adj.任意的；随机的；随意的; n.随意；任意; adv.随机地
Antarctic|adj.南极的; n.(theA-)南极洲；南极圈
fellowship|n.友谊；团体；会员资格；奖学金
slap|n.侮辱；掴；拍击声; vt.侮辱；拍击；惩罚；申斥; adv.直接地；正面地；突然地
EIS|n.最后项目的规格
imitation|n.模仿；效法; adj.假造的；冒充的
undermine|vt.逐渐削弱；暗中损害；在...下挖；从根基处损害
orthodox|adj.正统的；传统的；东正教的
horrible|adj.可怕的；令人毛骨悚然的；令人讨厌的
GR|n.放大衰减指示(传动比；政府规定)
snatch|n.抢夺；一阵；一点点; v.夺取；抓住
apprehension|n.理解；忧惧；逮捕；了解
impart|vt.传授；赋予；告知
scar|n.疤痕；伤痕；断崖; v.结疤；痊愈
zit|n.丘疹；青春痘；吻痕
dizzy|adj.晕眩的；(速度)极快的；困惑的; vt.使晕眩；使困惑
gear|n.传动装置；齿轮；排挡；工具；装备; v.调整；使适应于；以齿轮连起
consultant|n.顾问；咨询者；会诊医生
stern|adj.严厉的；严峻的；苛刻的；坚决的; n.尾部；船尾
hearing|n.听力；听觉；说话或申辩的机会；审讯；听证会; 动词hear的现在分词.
FT|abbr.傅里叶变换（=Fouriertransform); abbr.立定罚球(=freethrow); abbr.全职（=fulltime）; abbr.英尺（=foot）
evoke|vt.唤起；引起
ward|n.病房；行政区；监护；守卫；受监护人; vt.守护；躲开
shuttle|n.梭子；穿梭；往返移动之物；航天飞机; v.往返运送；穿梭移动
destined|adj.命中注定的；去往...的; destine的过去式和过去分词
transaction|n.交易；办理；处理；事务; （复）transactions:学报；会报.
contrive|v.图谋；发明；设计；设法做到
mini|n.微型汽车；微型电脑；迷你裙; adj.迷你的；袖珍的；微型的
sturdy|adj.强健的；坚固的；坚决的
creation|n.创造；创作
SIS|n.姐妹(=sister); abbr.秘密情报处(=secretintelligenceservice)
kl|abbr.千升(=kiloliter)
legislation|n.法律；法规；立法
disturbance|n.扰乱；骚动
Nikl|尼克尔
illuminate|vt.照明；阐释；说明
inflation|n.通货膨胀；膨胀
hospitality|n.款待；殷勤；好客；酒店管理
ELIG|埃利希
depict|vt.描述；描绘；画
PRI|abbr.塑性保持指数（=plasticityretentionindex）
petty|adj.小的；琐碎的；次要的；狭隘的
repel|vt.排斥；抵制；击退；使反感; vi.排斥；反感
NA|abbr.无名麻醉剂(=NarcoticsAnonymous); abbr.全国科学院会员（=NationalAcademician）; abbr.全国科学院(=NationalAcademy); abbr.北美（=NorthAmerica）; abbr.不适用的（=NotApplicable）
TM|abbr.商标(=Trademark)
LTI|(lineartimeinvariabley)线性时不变
prophet|n.预言者；先知
recruit|v.吸收(新成员)；征兵；招聘; n.新成员；新兵
fre|量子
predecessor|n.祖先；前任；原有事物
hurricane|n.飓风；暴风
entrepreneur|n.企业家；承包商；主办者
ego|n.自我；自负；自尊心
sexual|adj.性的；性欲的；有性生殖的；性别的
SES|abbr.空间环境的模拟装置(=SpaceEnvironmentalSimulator); abbr.趋肤效应带(=SurfaceEffectStrip); abbr.社会经济地位(=socioeconomicstatus)
fossil|n.化石；食古不化的人；守旧的事物
prayer|n.祈祷；祷告；祷文；祈祷者
compatible|adj.一致的；兼容的；适合的; n.兼容
given|adj.特定的；假设的；有...倾向的; prep.考虑到；如果; n.不争的事实; 动词give的过去分词形式
federation|n.联邦；联合；联盟
barely|adv.几乎不；刚刚；勉强；少量地
Dr|abbr.博士，医生(=doctor)
cynical|adj.愤世嫉俗的；悲观的；恶意的
flush|v.冲洗；发红；将某人赶出; n.脸红；冲洗；（纸牌）同花牌；【计算机】冲洗
rent|n.租金; v.租用；出租; 动词rend的过去式和过去分词.
