century|n. 世纪，一百年，成百的东西
centre|n. 中心,聚集点 vt. 置于中央,关注于 vi. 居中
am|动词be的第一人称形式 vi. 是
certainly|adv. 当然
year|n.年； 年纪； 一年的期间； 某年级的学生
chair|n. 椅子,席位,讲座,要职 vt. 上任,使担任（某事务）的主席,主持
mother|n. 母亲 adj. 母亲的,母体的 vt. 生育,像母亲一样关爱
chance|n. 机会, 意外, 运气, 风险 vi. 偶然发生 vt. 偶然发生, 冒险
speak|vt. 说,声明,表现 vi. 说话,交谈,表达,发出声音
your|pron. 你的, 你们的
head|n. 头脑,领袖,冷静，硬币的正面，顶端，高潮 vt. &vi. 为首,朝向,前进，超过，起源 adj. 首要的，前面的
picture|n. 图画,照片,景色 vt. 画,描写,想像
too|adj. 太, 过于, 也, 还 adv. 也
check|vt.检查，核对； 制止，抑制； 在...上打勾 vi.核实，查核； 中止； 打勾； [象棋]将一军 n.<美>支票； 制止，抑制； 检验，核对
kitchen|n. 厨房
hear|vt. &vi. 听到,得知,倾听,听证
his|pron. 他的
police|adj. 警察的 n. 警察,警方 v. 管辖
classroom|n. 教室，课堂
tree|n. 树
clean|adj. 干净的, 正当的, 纯洁的, 完全的, 精准的, 空的 adv. 完全地 n. 清洁 vt. &vi. 打扫,清扫
Mrs|太太
left|adj.左边的，左侧的； 左派的 n.左，左面； [军]左翼； 左派，激进分子 adv.向左； 在左边 v.离开( leave的过去式和过去分词)
holiday|n. 假期,假日 vi. 度假
climb|vt. &vi. 攀登,上升,爬 n. 攀登(处)
home|adj. 家(乡)的 adv. 回家, 在家, 正确的方向 n. 家, 住所, 国内的, 养老院 vt. 提供住处 vi. 回家, 移向
run|n. 奔跑,路程,趋向 vt. 跑,放牧,经营,走私,使运转,浇铸,使遭受 vi. 跑,竞赛,行驶,运转,遭遇,持续,熔化,褪色,流,蔓延,传播 adj. 熔化的,浇铸的,洄游的
flower|n. 花,华丽,盛年,精英,自然发展的结果 vi. 成熟,开花 vt. 使开花,用花装饰
next|adj.紧接在后的； 次于的； 贴近的； 紧邻的 adv.接下去； 然后； 居后地； 依次的 n.下一位； 下一个 prep.靠近； 居于...之后； 在...的隔壁
night|n. 夜晚
deaf|adj. 聋的
club|n. 击棍,扑克牌中的梅花,俱乐部 vt. 用棍棒打,集合 vi. 集合,分担花费,泡夜总会
yesterday|n.&amp;adv. 昨天
hospital|n. 医院
coat|n. 外套,一层,动物皮毛 vt. 外面覆盖,盖上毛衣
foot|n. 脚,山脚,最底部, 一步长,音步，进程 vi. 跳舞,步行 vt. 表演舞步,付账, 踩踏, 结算
coin|n. 硬币,金钱,货币 vt. 制造钱币,创造 adj. 与硬币有关的
add|vt. &vi. 增加
do|aux. 助动词(无词意) v. 干,做
hungry|adj. 饥饿的，渴望的
stop|n. 停止,车站,滞留,阻挡 vt. 停止,制止,塞住 vi. 停止,停留,结束
advise|vt. 劝告,警告,通知 vi. 劝告,与...商量
thin|adj. 瘦的,稀少的 adv. 薄,细,瘦,稀薄(的) vt.& vi. (使)变薄
afraid|adj. 害怕的, 担心的
after|adj. 以后的 adv. 以后, 后来 conj. 在...以后 prep. 在...之后
afternoon|n. 下午 int.下午好
beach|n. 海滩 v. 拖(船)上岸 vt. 使船冲上滩
agree|vt. 同意,赞成,承认 vi. 同意,一致,符合
air|n. 空气,旋律,气氛,态度 vt. &vi. 晾干,使通风,广播
background|n. 背景,幕后,配音 vt. 提供背景
birth|n. 出身, 血统, 出生, 诞生, 出现, 起源
leg|n. 腿, 支柱, 裤脚管 vi. 用脚走路
allow|vi. (for)考虑到,使可能 vt. 给予,承认,允许, 断定
aloud|adv. 出声地, 大声地
tomato|n. 西红柿
although|conj. 尽管, 虽然
drink|n. 饮料 vt. &vi. 喝,喝酒
like|adj. 相似的,同样的 vt. &vi. 喜欢,愿意,想 prep. 像,如同 n. 爱好,类似的人（或物） adv. 大概,和...一样 conj. 如同
beside|prep. 在...旁边,与...相比
comfortable|adj. 舒适的,充裕的
an|art. 一
and|conj. 和 逻辑与
mom|n. 妈妈 abbr. 月中(=middle of month)
angry|adj. 生气的,伤口红肿的
communication|n. 沟通,交通,沟通
community|n. 社区, 团体
compare|vt.&vi. 比较,比喻,对照 n. 比较，对照
duck|n. 鸭，鸭肉，板球零分 vt. 把...按入水中，低头弯身（以免被打中或看见)，躲避 vi. 迅速行进，飞快行走（以免被看见），推委责任
appear|vi. 出现,显得,出版,抵达
competition|n. 比赛,竞争
live|adj. 活的, 生动的, 精力充沛的, 直播的 v. 活, 居住, 过著
bus|n. 公共汽车
from|prep. 从,从...起
around|adj. 大约, 在现存范围内 adv. 大约,到处,在周围 prep. 在...附近, 到处
up|adv. 向上,增加,用尽,完全,储存,靠近 adj. 向上的,直立的,完成的,高兴的,在进行的 prep. 向上,迎着 n. 上司,上坡,繁荣,上面 vt. 升起,增加 vi. 上升
season|n. 季节,时期,旺季，上演期 vt. 加调味料调味,使...适用于 vi. 使...被调味，
bed|n. 床，河床，底层，基座 vt. 铺床，去睡觉，安置，发生性关系 vi. 铺床，去睡觉，铺层，躺平
attend|vt. 参加,注意,照料 vi. 专心,留意,待命
body|n. 身体,人,尸体,主体,正文 vt. 赋予形体,体现
autumn|n. 秋季,秋天
supermarket|n. 超级市场
game|n. 游戏, 比赛, 行业, 非法手段, 策略, 猎物, 野味, 戏弄 vi. 赌博 vt. 欺骗 adj. 乐意做的, 勇敢的, 跛的
horse|n. 马 vt. 骑马 adj. 马的
because|conj. 因为
education|n. 教育,培养
connect|vt. 连接,联通,使有联系 vi. 连接,接通
umbrella|n. 伞,保护伞 vt. 用伞遮住
boss|n. 老板, 上司 v. 指挥, 控制
before|prep.在...之前； 先于，优于； 当着...的面； 与其... conj.在...之前； 在...以前； 比...早些； 与其... adv.先前，从前； 在前，在前方
cartoon|n. 动画片 vt. 为...画漫画
banana|n. 香蕉
be|prep. 是,有,在
elephant|n. 大象, 庞大笨拙难处理的事物
swim|游泳
baby|adj. (形容用法)婴儿的, 过小的 n. 婴儿, 象婴儿的人, 需特殊关心的事物 vt. 溺爱, 过度关心
believe|vi. &vt. 认为,相信
it|pron. 它
below|adv.在下面，到下面 prep.（表示位置）在...下面； （表示状态）在...掩饰之下； （表示比较）不及； 低于
continue|vt. &vi. 继续, 连续, 维持
on|prep. 在...之上,由...支撑着,在（某一天）,使用, 根据 [计算机] 开 adv.穿着,向前（移动),（表示持续性） adj. 表示已连接、处于工作状态或使用中,表示发生,值班 abbr.=Ontario
open|n. 公开,户外,空旷 adj. 开着的,开放的,公开的 vt. 打开,公开,开放,开始 vi. 开, 通行,大叫
table|n. 桌子, 平地层, 石板, 表格 vt. 搁置, 嵌合, 制表 adj. 桌子的
basket|n. 篮,篓,筐，篮球筐,得分
become|vt. 变得 vi. 存在,变得,经历改变或发展
bridge|n. 桥,鼻梁,桥牌 vt. 渡过,架桥
bye|int. 再见
bright|adj. 明亮的,阳光的,生动的,聪明的 adv. 亮 n. 亮色
morning|n. 早晨, 上午, 开端
cook|vi. 烧菜, 发生, 做好 vt. 编造, 烧, 虚构 n. 厨师, 烧菜
chess|n. 国际象棋
make|vt.做，制造； 生产，制定； 使成为； 使产生 vi.开始； 尝试； 行进； 增大 n.制造； 生产量； 性格； 形状，样式
she|pron. 她
against|prep. 反对,倚靠,违背,防御,相比,相对
sheep|n. 羊, 绵羊
coach|n. 大巴, 教练; (火车)客车车厢, 四轮马车, 经济舱 vt. 训练, 指导 vi. 训练, 指导
cost|n.价钱，代价； 花费，费用； 牺牲； [用复数][法律]诉讼费 vi.价钱为，花费； 估计成本 vt.付出代价； 估价； 使丧失； 使付出努力
chicken|n. 鸡,鸡肉,胆小,懦夫 adj. 懦弱的,胆小的
wait|vt.& vi.等候； 等待； （尤指长期地）希望； 盼望 vi.准备妥； 在手边； 可得到； 可使用 vt.推迟，搁置，延缓
cotton|n. 棉花,棉 vi. 向...讨好，明白，领悟
could|aux."can"的过去式； 能够，打算； 用于假设语气的条件句； 用于虚拟语气的结论句
count|v. 计算, 视为, 依赖 n. 计数
walk|n. 散步,步行,生活 vt. 走过,走路,遛(狗),巡视 vi. 走路
blouse|n. 女衬衫
cousin|n. 堂(或表)兄弟(姐妹)
photo|n. 照片 vt. &vi. 拍照 adj. 摄影的
cow|n. 母牛, 母兽 vt.恐吓
talk|n. 谈话,会谈,讲话, 闲话 vt. 说, 谈论, 商讨 vi. 说闲话, 招供, 开口说话, 闲聊
cream|n.乳霜； 精英； 奶油色； 乳脂，奶油 vt.把...搅成糊状（或奶油状）混合物； 彻底打败，狠揍
way|n. 方法,道路,方向,作风,(某)方面,程度,状态 adv. 非常,很多,很远 adj. 与路线的中间点相关的,路线的中间点
America|n. 美国,美洲
business|n. 商业,生意,事务
but|adv. 仅仅,只 conj. 但是 prep. 除...以外 pron. 只有
taxi|n. 计程车，出租汽车 v. 用出租车运送，乘计程车，（飞机）滑行
tea|n.茶.茶叶.茶树.茶点 vt.给.....沏茶 vi.喝茶.进茶点
copy|n.复制品； 一份； （报刊等的）稿件； 准备排印的书面材料 vt.& vi.复制； 抄写； 容许复制的 vt.模仿； 仿造...的样式或图案； 抄写； 复制
buy|n. 合理的价格,购买 vt. 买,换得,收买,接受 vi. 购买
teacher|n. 教师
date|n. 日期,约会,枣椰子 vt. 约会,定日期 vi. 追溯到 n.[计算机] DOS命令 : 显示或设置系统日期
China|n. 瓷器；中国 adj. 瓷制的（小写时）
shorts|n. 短裤
cry|n. 叫,哭,喊,口号,叫卖声,普遍意见 vt. 大声叫喊,宣传,哭得... vi. 哭,叫,喊,强烈要求
well|n. 井,源泉,楼梯井 adj. 健康的,良好的,适宜的 adv. 很好地,适当地 vi. 涌出 interj. 好吧,啊
anybody|n. 重要人物 pron. 任何人
red|adj. 红色的 n. 红色
interesting|adj. 有趣的
grandmother|n. (外)祖母
skirt|n.裙子； 边缘； （连衣裙、外衣等的）下摆； （车辆或机器基座的）挡板 vt.& vi.位于...的边缘； 沿...的边缘走； 绕开； 避开,避开
thank|vt.谢谢，感谢； 责怪，把...归于 n.感谢，谢谢，道谢的话
sleep|n. 睡眠,静止,睡意 v. 睡觉,睡眠,静止
dance|n. 跳舞, 舞蹈, 舞会, 舞步 vi. 跳舞, 雀跃 vt. 使跳跃, 使某人以跳舞的方式进入
park|n. 运动场,专业区,园区,公园,停车处 vt. 停车,放排放置于 vi. 停车
them|pron. 他(她, 它)们
can|aux. 能,可以 n. 罐头 vt. 罐装 vt. 炒某人鱿鱼
there|adv.在那里； 那里； 在那一点上 pron.表示某物或某人的存在或某事的发生（常用作be, seem或appear的主语） int.（表示满足、烦恼）你瞧，好啦，得啦
dead|adj. 死的,萧条的,精疲力竭的,用完的,无趣的 adv. 完全地,突然地,直接地 n. 死者,死
cancer|n. 癌,巨蟹座
dear|adj. 严重的,珍贵的,亲爱的,昂贵的,衷心的 adv. 高价地,热爱地 n. 亲爱的人,可爱的人 int. 啊,哎呀
yes|adj. 是的 adv. 是, 是的 v. 是
with|prep. 和...一起,用, 随着, 包括
Asia|n. 亚洲
careful|adj. 小心的, 仔细的
center|n. 中心, 中间, 主角, 中锋, 重点 vi. 居中, 聚焦于... vt. 使集中, 放在中央
those|pron.&amp;adj. 那些
carrot|n. 胡萝卜,报酬,好处
April|n. 四月
sock|n. 短袜,喜剧,猛击 vt.& vi. 重击,痛打
sometimes|adv. 有时
worker|n. 工人，工作者
people|n. 民族,人,人们,人民,家人 vt. 居住于
happy|adj. 快乐的,幸福的,乐于做某事
worry|n. 烦恼,忧虑,苦恼 vt. 使...烦恼,使...焦虑, 叼住某物甩或拉 vi. 感到苦恼,感到焦虑
bike|n. 脚踏车
airport|n. 机场
shop|n. 商店 vi. 购物,寻找 vt. 购物,逛商店
tiger|n. 老虎
cause|n. 原因；事业；目标 vt. 引起；使遭受
whose|pron. 谁的
house|n. 房子,住宅,全家人,议院 vt. 提供住,安置, 收容 vi. 居住, 躲避
mum|adj. 沉默的 vi. 演哑剧，化装游玩 n. 妈妈
bamboo|adj. 用竹子制的 n. 竹
behind|adv. 在后面,落后,迟地 adj. 后面的, 落后的, 迟的, 慢的 prep. 在...之后,落后于,掩盖,基于,支持 n. 屁股
put|vt. 放,安置, 使处于 vi. 提交, 记下
brave|adj. 勇敢的,缤纷的,绚丽的 vt. 勇敢地面对(危险等),抵抗 n. 勇敢的人
bread|n. 面包,食物,生计 vt. 撒面包屑
he|pron. 他
love|vt.& vi.爱，热爱； 爱戴； 喜欢； 赞美，称赞 vt.喜爱； 喜好； 喜欢； 爱慕 n.爱情，爱意； 疼爱； 热爱； 爱人，所爱之物
again|adv. 又,再,另一方面
story|n. 故事,叙述 vt. 以历史事件为图案装饰
cheap|adj. 便宜的,品质低的,虚伪的 adv. 便宜地
call|v.呼唤，喊叫； 召唤，叫来，召集； 下令，命令； 打电话给 n.喊叫，大声喊； 电话联络； 必要，理由； 要求
bad|adj. 坏的,令人不满意的,有害的,有病的 n. 坏人,坏事
cheer|n. 愉快,激励,欢呼 vt. 加油,鼓舞,快活起来 vi. 使振奋,欢呼
the|adv. [用于比较级,最高级前] art. 这(那),这(那)些
use|n. 运用,用法,使用权,适用 vt. 使用,利用,对待 vi. 吸毒
daughter|n. 女儿 adj. 与女儿有关的, 女性直系后代的
cool|adj. 凉的,凉快的,冷静的,冷色系的 adv. 冷静地 n. 凉快 vt. &vi. (使)变凉,(使)冷静
mouth|n. 嘴,开口，需要供养的人，夸张说话的趋势，（河流等）入口，容器的开口 vt. 装腔作势说话, 送进嘴里，喃喃自语，用唇语说 vi. 傲慢地说，嘟嘴扮鬼脸
bottom|n. 底部;臀部;船身;水底;服装下面的部分;低洼地;底色;尽头 adj. 底部的 vt. 给...装底,建立基础,到达底部 vi. 到达底部,垫底，降到最低点
these|adj.&pron. 这些
study|n. 学习,研究,学科,沉思,书房 vt. 读书,计划,研究,记忆,调查 vi. 学习,研究,沉思
or|conj. 或者,还是 prep.&amp;adv. 或者
correct|adj. 正确的 v. 改正,纠正 vt. 改正
playground|n.&amp;adj. 操场
shoe|n. 鞋
hi|int. 嗨, 引人注意时的喊声, 打招呼
room|房间, 空间
basic|adj.基本的； [化学]碱性的； [地质学]基性的； 首要的 n.基础，基本； 基本原则，基本原理，基本规律； 要素； 基础训练
careless|adj. 粗心的, 疏忽的 n. 不关心的, 粗心的[反]attentive
ear|n. 耳朵, 听觉, 倾听, 麦穗 vi. 长出麦穗
we|pron. 我们 abbr. =Wednesday
concert|n. 音乐会, 一致, 和谐 vt. 制定计划, 通过协商达成一致 vi. 合作
blue|adj. 蓝色的,沮丧的,忧郁的,(女人)有学问的 n. 蓝色 vt. 使...变蓝 vi. 变蓝
clock|n. 时钟, 计时器
close|n. 完结, 结论 adj. 靠近的,亲近的，几乎，密切的, 势均力敌的 vt. 关,结束,靠近 vi. 关，停业, 搏斗 adv. 紧挨着, 紧紧地
long|adj. 长的,很久的,冗长的 vi. 渴望,热望,极想 adv. 长期地,远地 n. 长时间,长音节
catch|n. 捕捉,陷阱,捕获物,接(球等),扣栓物,隐患 vt. 抓住；赶上,了解,感染,被钩住,击中,察觉 vi. 抓住，燃着
look|n. 看, 神色, 样子, 脸色 vi. 看, 注意, 朝着, 好象, 显得 vt. 打量, 注视, 用眼神或脸色表示, 期待
avoid|v. 避免 vt. 避免,逃避
cloud|n. 云,云状的烟，阴影 vt. 使...模糊，以云遮敝,笼罩，使...混淆,毁坏 vi. 脸色显得阴沉
far|adv.&amp;adj. 远的(地) n. 远处
song|n. 歌曲, 歌唱艺术, 诗歌
bell|n. 钟,铃,花冠,吼叫声 vt. 敲钟,使象钟状地张开 vi. 使呈钟状,张开
a|art.一(个), 每一(个), 任一（个）
an|art. 一
able|adj. 能干的, 有能力的
about|adj. 准备 adv. 大约 prep. 关于
above|adj. 上面的 adv. 在上面, 超过 n. 上面的东西 prep. 在...上面, 超过
abroad|adj. 在国外,海外(一般作表语) adv. 到国外, 广为流传
accident|n. 事故,意外的事
across|adv. 横过, 使...被理解(或接受) prep. 穿过, 横过
active|adj. 积极的；活跃的；主动的；有效的；现役的 n. 主动语态；积极分子
activity|n. 活动；行动；活跃
advertisement|n.&amp;adv. 广告
add|vt. &vi. 增加
address|n. n.地址； 通信处； 演说； 称呼
adjective|n. 形容词 adj. 形容词的,似形容词的
adult|adj. 成年的,成人的，成熟的 n. 成年人
advantage|n. 优势,有利条件 vt. 有利于
adventure|n. 冒险,奇遇 vt. 冒险,尝试 vi. 大胆进行,冒险
adverb|adj. 副词的 n. 副词
advice|n. 忠告，建议，劝告
aeroplane|n. 飞机
afford|vt. 提供,负担得起的(后果,损失等),给予
afraid|adj. 害怕的, 担心的
Africa|n. 非洲
after|adj. 以后的 adv. 以后, 后来 conj. 在...以后 prep. 在...之后
afternoon|n. 下午 int.下午好
agent|n. 代理人，代理商；药剂；特工；动力 vt. 由...作中介；由...代理 adj. 代理的
again|adv. 又,再,另一方面
against|prep. 反对,倚靠,违背,防御,相比,相对
age|n. 年龄，时期，很长时间 vt. (使)变老 vi. 变老,(使）变成熟
ago|adv. 以前
agree|vt. 同意,赞成,承认 vi. 同意,一致,符合
ah|int. 啊, 哈 =aah
aha|int. 啊哈（表惊奇或得意）
air|n. 空气,旋律,气氛,态度 vt. &vi. 晾干,使通风,广播
airport|n. 机场
alarm|n. 警报,惊慌,警告,报警器 vt. 使...惊慌,警告, 装报警器
alike|adj. 相似的,同样的 adv. 一样,以同样的方式
alive|adj. 活着的,有活力
all|adj. 所有的,全部的 adv. 全部,非常,全然,所有 pron. 全部,所有 n. 全部
allow|vi. (for)考虑到,使可能 vt. 给予,承认,允许, 断定
almost|adv. 几乎,差不多 adj. 几乎
alone|adj. 单独的,仅仅，独自一人的 adv. 只有,独自地, 独一无二地
along|adv. 向前,(与某人)一道 prep. 沿着
aloud|adv. 出声地, 大声地
alphabetical|adj. 按字母表顺序的
already|adv. 已经
also|adv. 也, 同样地, 而且
although|conj. 尽管, 虽然
always|adv. 总是
am|动词be的第一人称形式 vi. 是
amaze|v. 使吃惊
amazing|adj. 令人惊异的
America|n. 美国,美洲
American|adj. 美国的, 美式的 n. 美国人, 美式英语
among|prep. 在...之中
ancient|adj. 古代的,古老的 n. 古人, 古货币
and|conj. 和 逻辑与
angel|n. 天使,天使般的人
angry|adj. 生气的,伤口红肿的
animal|n.动物，兽，牲畜； <俚>家畜，牲口； <俚>畜生（一般的人）； 兽性 adj.动物的； 肉体的； 肉欲的
another|adj. 另一,再一 pron.&amp;prep. 另一个
answer|vt.& vi.答复； 解答； 答辩； 适应 n.回答； 答案； 反应； 足以媲美的人
ant|n. 蚂蚁
any|adj. 任何的 adv. 稍 det. 一些 prep. 无论哪个 pron. 任何
anybody|n. 重要人物 pron. 任何人
anyone|pron. 任何人
anything|pron. 任何事
anytime|adv. 任何时候；无例外地
anywhere|adv. 任何地方 pron. 任何(一个)地方
appear|vi. 出现,显得,出版,抵达
appetite|n. 爱好,嗜好,食欲,胃口,欲望
apple|n. 苹果
April|n. 四月
Arabia|n. 阿拉伯半岛（亚洲）
are|vi. 是,在(be动词,系动词)
argue|vt. 争论,辩论,争吵,劝说,表明 vi. 提出理由,争论,辩论
arm|n. 手臂, 港湾, 狭长地带, 扶手, 袖子, 枪 vt. 装备, 准备(炸弹) vi. 武装自己
army|n. 军队,陆军,大群
around|adj. 大约, 在现存范围内 adv. 大约,到处,在周围 prep. 在...附近, 到处
arrive|vi. 到达,成功
art|adj. 美术(品)的,艺术(品)的 n. 艺术, 技术, 阴谋, 美术
artist|n. 艺术家, 美术家, 艺人
as|adv. 同样地, 像 prep. 当做 conj. 当...之时, 像...一样, 因为
ashtray|n. 烟灰缸
ask|vt. 询问, 请求，要求，开价 vi. 询问，恳求
asleep|adj. 睡着的,已死的，不活跃的，麻木的 adv. 处于或进入睡眠状态地，陷入麻木不仁状态地
assistant|adj. 助理的；辅助的。 n. 助手助理；助教，店员
at|prep. 在，向，达 n. 基普(老挝货币基本单位)(=att) abbr. 密封的(=airtight) abbr. 气温（=air temperature） n. [化]砹(极不稳定放射性元素)
attack|vt.& vi.攻击，进攻，抨击 n.攻击； 抨击； （队员等的）进攻； （疾病）侵袭 vt.抨击； 非难； 侵袭； 损害
attention|n. 注意(力),关心,立正
attract|v. 吸引, 有吸引力
audience|n. 听众, 观众, 读者, 拥护者, 倾听, 正式会见
auditorium|n. 礼堂，观众席
August|n. 八月(大写时） adj. 威严的,尊严的(小写时）
aunt|n. 伯母, 姑, 婶, 姨
Aussie|n. 澳洲人
Australia|n. 澳大利亚
Australian|adj. 澳大利亚的 n. 澳大利亚人
autumn|n. 秋季,秋天
avenue|n. 林荫道, 大街, 途径手段
avoid|v. 避免 vt. 避免,逃避
awake|adj. 醒着的,警惕的 vt. 唤醒,唤起,激发 vi. 醒来,恢复意识
away|adv. 远离,离开,出去,连续的,遥远地
baby|adj. (形容用法)婴儿的, 过小的 n. 婴儿, 象婴儿的人, 需特殊关心的事物 vt. 溺爱, 过度关心
back|adj. 后面的，偏远的, 过时的, 积欠的, 向后的 adv. 向后地 n. 后背, 背脊，后面, 靠背 vt. 后退，支持 vi. 后退
backpack|n. 双肩背包
bad|adj. 坏的,令人不满意的,有害的,有病的 n. 坏人,坏事
badly|adv. 严重地, 恶劣地, 极度地
badminton|n. 羽毛球
bag|n. 包,猎获物 vt. 鼓起,把...装入袋中,猎杀,占有 vi. 鼓起,宽松地下垂或悬吊
bake|vt. 烘焙,烤 vi. 烘焙,烤,变得炎热 n. 烘焙,烤
balance|n. 天平, 平衡, 差额, 平静, 调和, 制衡 vt. 使平衡, 称重量, 权衡, 抵消 vi. 建立平衡, 均衡
ball|n. 球, 舞会 v. (把...捏)成球状
bamboo|adj. 用竹子制的 n. 竹
banana|n. 香蕉
band|n. 带;箍,队,乐队 vt. &vi. 联合,结合
bandage|n. 绷带
bang|n. 重击,突然巨响,刘海 vt. 重击,大声敲,剪成刘海 vi. 大声敲击,发出巨响 adv. 正好地, 准确地
bank|n. 银行,堤,岸 vt. 堆积 vi. 开户, 把...存入银行
barn|n. 谷仓, 牲口棚
barrel|n. 桶, 一桶的量, 大量, 枪管, 炮管, 笔管, 汽油桶 vi. 快速移动 vt. 把...装桶
base|n. 基底,（支持、收入、力量等的）基础 vt. 以...作基础 adj. 卑鄙的；不道德的
baseball|n. 棒球
basic|adj.基本的； [化学]碱性的； [地质学]基性的； 首要的 n.基础，基本； 基本原则，基本原理，基本规律； 要素； 基础训练
basket|n. 篮,篓,筐，篮球筐,得分
basketball|n. 篮球，篮球运动
battery|n. 电池,一系列,排炮
be|prep. 是,有,在
beach|n. 海滩 v. 拖(船)上岸 vt. 使船冲上滩
bear|n. 熊 v. 忍受,负荷 v. 结果实,生子女
beat|n. 打,敲打声,拍子,独家报道,一会儿 vt. &vi. 打,打败
beautiful|adj.美丽的, 漂亮的
because|conj. 因为
become|vt. 变得 vi. 存在,变得,经历改变或发展
bed|n. 床，河床，底层，基座 vt. 铺床，去睡觉，安置，发生性关系 vi. 铺床，去睡觉，铺层，躺平
bedroom|n.卧室，寝室 adj.<美>城郊住宅区的； 两性关系的，男女性爱的
bee|n. 蜜蜂
beef|n. 牛肉 v. 抱怨, 诉苦
beeper|n. 呼叫器，BP机
beer|n. 啤酒
before|prep.在...之前； 先于，优于； 当着...的面； 与其... conj.在...之前； 在...以前； 比...早些； 与其... adv.先前，从前； 在前，在前方
beg|vt. 乞讨，恳求，合理需要 vi. 行乞，乞求 abbr. （begin）的缩写，开始
begin|vt.& vi.开始； 着手； 创始； 创办 vi.（从...）开始； 起始； 起初是； 开始讲话
beginning|n. 开始,开端，起源，早期 adj. 刚开始的 动词begin的现在分词
behavior|n. 行为,举止
behind|adv. 在后面,落后,迟地 adj. 后面的, 落后的, 迟的, 慢的 prep. 在...之后,落后于,掩盖,基于,支持 n. 屁股
Belgium|n. 比利时[欧洲]
believe|vi. &vt. 认为,相信
bell|n. 钟,铃,花冠,吼叫声 vt. 敲钟,使象钟状地张开 vi. 使呈钟状,张开
below|adv.在下面，到下面 prep.（表示位置）在...下面； （表示状态）在...掩饰之下； （表示比较）不及； 低于
Berlin|n. 柏林
berry|n. 浆果
beside|prep. 在...旁边,与...相比
best|adj. 最好的 adv. 最,最好地 n. 最好的人(或物) vt. 胜于
seller|n. 售货者，畅销品
better|adj. 较好的,更好的 adv. 更好地 vt. &vi. 使...更好,超越 n. 更好的事物
between|adv. 在中间 prep. 在...之间
bicycle|n. 自行车 v. 骑自行车
big|adj. 大的,重要的 adv. 以郑重的方式,大数量 n. 杰出的组织和个人
bike|n. 脚踏车
bill|n.账单； 钞票； 清单； 广告 vt.安排； 给...开账单； 为...发提（货）单； 把...登录在账 vi.鸟嘴相接触
billion|n. 十亿,大量 adj. 大量的
biology|n. 生物学
bird|n. 鸟,家禽,陶土飞靶,伙伴 vi. 观察或辨认鸟
birthday|n. 生日
bit|n. 一点儿,少量 n. 钻头,马嚼子,辅币 n. 位,比特(二进位制信息单位) v. 控制
bite|n. 咬,一口,少量食物,咬伤的伤口 vt. 咬,刺穿(痛) vi. 咬(饵),使剧痛,紧抓
black|adj.黑（色）的； 黑色人种的； 黑暗的 n.黑色； 黑人； 黑颜料； 黑暗 v.使变黑； 抵制； 拒绝； 使变黑暗
blackboard|n. 黑板
blank|adj. 空白的, 茫然的, 全部的, 面无表情的, 未完工的 n. 空白(处), 空隙, 空虚, (有弹药而无弹头的)空弹 vi. 消失, 走神 vt. 使模糊不清, 删除, 封闭, (比赛时连续得分)使对手得零分
bleat|n. 羊的鸣声 v. 发出羊叫声，哀鸣
blind|adj. 盲目的,瞎的,未察觉的 n. 百叶窗,幌子 vt. 使失明,隐藏 adv. 盲目地
blood|n. 血,血统,仇恨 vt. 流血
bloom|n. 花,钢块,兴旺 vt. 使...开花 vi. 开花,变得健康
blouse|n. 女衬衫
blow|n. 吹；打击；殴打 vi. 风吹；喘气 vt. 风吹
blue|adj. 蓝色的,沮丧的,忧郁的,(女人)有学问的 n. 蓝色 vt. 使...变蓝 vi. 变蓝
board|n. 木板, 甲板, 董事会 n. 伙食; 舞台, 演员的职业; 船舷 vt. 登(飞机、车、船等); 有偿提供食宿; 用木板覆盖 vi. 搭伙
boat|n. 船, 船型物体 vt. 放于船上 vi. 划船
boating|n. 划船 动词boat的现在分词
body|n. 身体,人,尸体,主体,正文 vt. 赋予形体,体现
bold|adj. 大胆的,粗体的,醒目的，无礼的,陡峭的
bone|n. 骨,骨骼,核心 vt. 除去骨头,往衣服里加撑条,磨光表面 vi. 努力学习 adv. 非常地,极其地
book|n. 书,本子 vt. 登记,预订 vi. 通过...预订
bookmark|n. 书签
bookshop|n. 书店 =bookstore
boon|adj. 愉快的 n. 恩惠
boot|n. 靴子,[英]汽车行李箱,猛踢, 锁扣 vt. 踢, 穿靴子,锁车 vi. 启动（计算机),在（通常为非法停放的汽车）车轮上装制动装置, 利用, 帮助
bored|adj. 厌烦的,无聊的
boring|adj. 令人厌烦的 n. 钻孔
born|vt.bear的过去分词； 支撑，支持； 亲自携带，运输 vi.结果，生产； 和...有关 adj.出生的，出身于...的； 天生的，天赋的
borrow|v. 借, 借入, 借用
boss|n. 老板, 上司 v. 指挥, 控制
Boston|n. 波士顿(美国城市)
both|adj.二者，两者都 pron.二者 adv.二者，二者都 conj.不仅...而且...，...和...都
bottle|n. 瓶子 vt.装瓶, 抑制
bottom|n. 底部;臀部;船身;水底;服装下面的部分;低洼地;底色;尽头 adj. 底部的 vt. 给...装底,建立基础,到达底部 vi. 到达底部,垫底，降到最低点
bowl|n. 碗, 物体的碗状部分, 季后赛, 圆形露天剧场 vi. 打保龄球, 快速移动 vt. 投球, 投球得分
