visit|v.拜访；参观；闲谈; n.拜访；参观；聊天
sir|n.先生；阁下; Sir; n.（用于姓名前）...爵士
some|adj.一些；若干; adv.大约；非常; pron.一些(人、物)
stage|n.舞台；戏剧；阶段；步骤；行程; v.上演；举行；组织；筹划；使出现
such|adj.这样的；如此的; adv.如此地; pron.这样的人或事；其本身；这；那
sister|n.姐妹
somebody|pron.某人；有人; n.重要人物
sudden|adj.突然的；出乎意料的; n.突发之事
stair|n.楼梯
sil|abbr.会话干扰度(=SpeechInterferenceLevel)
someone|pron.某人；有人
sugar|n.糖，食糖；糖缸；甜言蜜语，阿谀奉承；宝贝，心肝; v.使甜；在...上撒糖
stamp|n.邮票；图章；印；跺脚; v.跺脚；盖章
situation|n.形势；局面；位置；职位；处境；状况
something|pron.某事物；有价值或重要的人或事物；大致；左右; adv.有点；非常
suggest|vt.建议；暗示；使想起；表明；要求
stand|v.站立；忍受；位于；停滞; n.站立；货摊；停顿；看台
slx|soundeffects音效
standard|n.标准；规格；水准；军旗; adj.标准的；普通的；规范的；权威的
sometimes|adv.有时；间或
suit|n.套装；诉讼；请求; v.适合；方便；满足
round|adj.圆的；球形的；丰满的；完整的；整数的；不确切的；大量的；坦率的；严厉粗暴的; adv.环绕地；周长；调转方向；依次；到某处; prep.围绕；在另一侧；四处; n.一局(轮)；常规活动；巡视；圆形物；(由一人给大家买的)一巡饮料；一整片面包；一阵(掌声)；一发(子弹); v.绕行；弄圆；使成为整数
relation|n.关系；联系；亲戚；陈述；参考
screen|n.屏幕；银幕；隔板；屏风；掩蔽物；纱窗；纱门；筛子; v.掩蔽；包庇；放映；筛；检查
quality|n.品质；才能；特质; adj.高品质的；棒极了
route|n.路线；(固定)线路；途径; vt.为...安排路线；(按路线)发送
quarter|n.四分之一；一刻钟；一季；25美分；区；方向; v.四等分; adj.四分之一的
row|n.排；划船；路；吵闹; v.划船；将...排成排；吵架
seal|n.封条；印章; n.海豹; v.密封；盖印；明确
relax|v.休息；放松；使...放松；放宽
queen|n.王后；女王
rubbish|n.垃圾；废物；废话；碎屑; v.贬损
remain|v.剩余；逗留；留下；依然；保持; n.剩余物；遗迹；残骸
search|v.搜寻；探求；调查; n.搜寻；搜索；调查
question|n.问题；疑问; v.询问；怀疑
rude|adj.粗鲁无礼的；原始的；未加工的；粗糙的；猛烈的
remember|v.记得；想起；记住，铭记；回忆；提及
queue|n.长队；行列；辫子; v.排队
rule|n.规则；条例；习惯；统治；直尺; v.支配；统治；画直线
rent|n.租金; v.租用；出租; 动词rend的过去式和过去分词.
seat|n.座位；底座；席位；臀部；所在地; vt.使坐下；可容纳; vi.坐
quick|adj.迅速的；快的；机敏的; adv.迅速地；快
ruler|n.尺子；划线板; n.统治者；支配者
repair|v.修理；修补；补救；赴；去; n.修理；修补；补救；维修工作；维修状态
second|adj.第二的；次等的；再一个的; num.第二; n.片刻；秒; adv.第二；其次; v.支持；赞成；附和；调派
quiet|adj.安静的；宁静的；平静的; n.安静；平静；闲适; vt.使平静；使安心; vi.平静下来
run|v.跑；行驶；运转；运营；持续；蔓延；传播；竞选；遭遇；熔化；褪色；流; n.路程；奔跑；趋向; adj.熔化的；浇铸的；洄游的
secret|n.秘密；奥秘；秘诀; adj.秘密的；机密的
repeat|n.重复；反复; v.重复；复述; adj.重复的；反复的
quite|adv.相当；完全；十分；很
rural|adj.农村的，乡村的，田园的
reply|v.回答；答复；回应; n.回答；答复
secretary|n.部长；秘书；书记；大臣；写字台
rabbit|n.兔子
rush|v.冲；仓促行事；突袭；奔；急速流动; n.抢购；匆忙；冲进；急速行进；蜂拥; adj.繁忙的；紧急的
report|n.报告；传闻；成绩单；爆炸声; v.报告；报导；叙述；举报；报到；对…负责
see|v.看见；明白；了解；经历；设想; n.主教教区；主角权限
race|n.赛跑；竞争; n.人种；种族；血统; v.赛跑；竞赛
Russia|n.俄罗斯
represent|vt.表现；表示；描绘；代表；象征；说明；阐明; vi.提出异议
seek|vt.寻求；追求；试图; vi.寻找
radio|n.收音机；无线电; v.用无线电通讯
sad|adj.悲哀的；忧愁的；伤心的
require|v.要求；需要；命令；规定
seem|vi.似乎；好像
railway|n.【C】铁路
safe|adj.安全的；安然无恙的；可靠的；谨慎的; n.保险箱
research|n.研究；调查; v.研究；调查
rain|n.雨；雨水; v.下雨；(雨点般)落下
seldom|adv.很少；难得
safety|n.安全；保险
sell|v.出售；卖
resolution|n.决心；决定；解决；决议；坚决；分辨率
raincoat|n.雨衣
Sall|n.萨尔(在丹麦；东经9&#186;50'北纬56&#186;17')
semester|n.学期
raise|n.上升；增高；高地; vt.升起；举起；饲养；提出；引起；筹集，募集
rest|n.剩余的部分；休息；支撑物；休止符; v.休息；(使)倚靠；使(视线)停留在；搁在；依赖；基于；搁置；埋葬
salad|n.色拉；凉拌生菜；杂烩
restaurant|n.餐馆；饭店
rank|n.等级；阶层；排；列; v.排列；分等级；列为；排名，排位; adj.繁茂的；讨厌的
sale|n.出售；促销
rapid|adj.短时间发生的；急速的；迅速的；快的；险峻的; n.急流；湍滩
restroom|n.[美](在酒店、饭店内的)公共厕所；洗手间
sense|n.感官；感觉；意识；鉴赏力；意义；理智；道理；见识; v.感觉；意识到；理解；检测
salt|n.盐；刺激；盐类; vt.用盐腌；加盐于
result|n.结果；成果；答案；成绩；(足球比赛)赢; v.产生；致使
rat|n.变节者；鼠；卑鄙的人; v.捕鼠；背叛；偷窃
sentence|n.句子；判决; vt.宣判；判决
same|adj.同样的，一样的; adv.同样地; pron.同样的人或事
rather|adv.相当；宁愿；有点儿; int.好呀
retire|v.退休；撤退；离去；就寝；主动退出比赛；收回（货币）；赎回（票据）; n.退休，退职
separate|adj.分开的；不同的；单独的；各自的; v.分开；隔开；区分；分居；脱离; n.分开；抽印本
sand|n.沙；沙子；沙滩；黄灰色; vt.撒沙；打磨；以沙掩盖
return|v.返回；归还；回报；回应；申报; n.归还；返回；（收益)回报；申报
reach|v.到达；伸出；达成；取得联系；延伸；（伸手）去够; n.范围；影响力；河段；等级
September|n.九月
sandwich|n.三明治; vt.插入；夹在中间
read|v.识字；阅读；朗读；理解；读到；猜测；读唇语；写着；读起来（给人以某种印象）；显示；看读数；听到；将...改为；攻读；（计算机）读盘; n.阅读；好读物; adj.博学的；熟知的
reveal|vt.显示；透露；揭示；展现; n.(外墙与门或窗之间的)窗侧；门侧；(汽车的)窗框
serious|adj.严肃的；严重的；认真的；危急的；庄重的
satisfy|v.使满意；满足；使信服；清偿
ready|adj.准备好的；现成的；乐意的；情愿的
review|n.复习；回顾；检讨；评审; vt.检阅；评论；温习；检讨; vi.写评论
servant|n.仆人
Saturday|n.星期六
rice|n.米；米饭；稻
real|adj.真实的；真的；正宗的；真正的；名副其实的；实际的；现实的；不动产的; adv.非常; n.真实；雷阿尔（昔日西班牙等地的货币）
serve|v.服务；侍候；担任；可作...用；度过；对待; n.发球
realistic|adj.现实的；现实主义的
rich|adj.富有的；富饶的；丰富的
sauce|n.酱汁；调味汁；无礼; vt.给...调味；使...增加趣味；对...无礼
service|n.服务；发球；服役；公务部门；礼拜仪式；(车辆、机器等定期的)维修; v.保养；维护；提供服务；支付(借款)利息
realize|vt.实现；了解；意识到；变卖
ride|v.骑；乘; n.交通工具；骑；乘车；搭便车
sausage|n.香肠；腊肠
set|v.放置；设定；确定；规定；调整；分配；(太阳)落下去；将（宝石）镶嵌到（某物）；配乐; n.集合；组合；日落；一套；一副；一局比赛；舞台；姿态；头发的定型; adj.规定的；固定的；不变的；做好准备的；固执的；不自然的
right|adj.正确的；对的；右边的；合适的；重要的；完全的; adv.正确地；直接地；向右；恰恰，就；立即；完全地; n.权利；道理；正确；右边；右派; v.扶直；纠正；公正对待；补偿；恢复平衡
really|adv.实在；真正地；事实上
seven|num.七
ring|n.戒指；环；圈；拳击场；马戏场；帮派; n.铃声；钟声；电话；口气; v.包围；环绕；形成圈; v.打电话；回响；鸣响；按铃；听上去
reason|n.原因；理由；理智；理性; v.理论；论证；推理；劝说
say|v.说；讲；比如说；表明; n.发言权；意见
seventeen|num.十七
rise|vi.上升；升起；增加；起床；反抗；复活; n.上升；增加；斜坡；小山
receive|v.接到；收到；接待
saying|n.谚语；俗话；格言; 动词say的现在分词.
seventeenth|adj.第十七的
risk|n.危险；风险；投资报酬的风险; vt.冒...的危险；承受...的风险
recent|adj.近来的；新近的
scared|adj.害怕的
recipe|n.秘诀；食谱；药方
river|n.河；江；河流；水道
scarf|n.围巾
seventy|七十
recite|vt.背诵；朗诵；叙述；列举; vi.背诵；回答问题
scary|adj.可怕的；容易受惊的；引起恐慌的
several|pron.若干; adj.几个的；若干的；各自的
record|n.唱片；纪录；记载；经历；前科; v.记录；显示；(将声音等)录下
robot|n.机器人；机械呆板的人；自动机；（非洲南部）自动交通信号灯
scene|n.情景；场；景
shake|v.摇动；震动；握手; n.片刻；摇晃；奶昔
recycle|vt.再利用；使再循环；再制; vi.循环; n.再循环
rock|n.岩石；摇滚乐；困境; vt.使震惊；摇动；使动心; vi.来回摇动；跳摇摆舞
school|n.学校；学派；院系；鱼群; v.教育；训练；成群地游
shall|aux.将要；应该；一定；表示提供建议
red|adj.红色的; n.红色
rocket|n.火箭；芝麻菜；紫花南芥; v.猛涨；飞快地移动
schoolbag|n.书包
shame|n.羞愧；耻辱；可耻的人或物; vt.使丢脸；使羞愧；使蒙羞
refrigerator|n.冰箱
role|n.作用；角色
shampoo|n.洗发剂；洗涤剂；洗头; vt.洗（头发；地毯等）
refuse|v.拒绝; n.垃圾；废物
room|n.房间；空间；机会; v.寄宿；给…提供留宿
science|n.科学；学科；理科；自然科学；专门技巧
shape|n.形状；形式；身材；定形; vt.塑造；定形；使...成形
regard|v.尊敬；视为；注视；留意；和...有关; n.关心；尊敬；注意；致意；考虑
root|n.根；根源；根本; v.生根；扎根；根除
scientific|adj.科学的
share|vt.分享，共享；分配；共有; vi.分享; n.一份；股份；分担；犁头
regret|v.后悔；惋惜；为...感到遗憾; n.遗憾；抱歉；后悔
rope|n.绳索；一串；绞刑; v.捆绑；说服（口）
scientist|n.科学家
shark|n.鲨鱼; n.贪婪的人；放高利贷的人；老手; v.诈取；诈骗
regular|adj.有规律的；定期的；经常的；正规的；整齐的；规则的
rose|n.玫瑰；蔷薇; adj.玫瑰色的；玫瑰的; 动词rise的过去式.
score|vt.得分；获胜；刻划；划线；批评；给...谱曲; n.得分；刻痕；二十；乐谱; vi.得分；记分；得胜
she|pron.她（主格）
please|adv.请（=plz）; v.使高兴；使满意；愿意；取悦
press|v.按；压；逼迫；强迫服役；征用; n.新闻界；出版社；报刊；新闻舆论；压；熨烫机；印刷机
pear|n.梨子；梨树
orange|n.橙子，橘子；橙黄色; adj.橙色的
pleasure|n.愉快；高兴；快事；（用于回答对方的感谢）荣幸; vt.使高兴; vi.高兴；享受快乐
pressure|n.压强；压力；压迫; v.施压
organize|v.组织；安排；筹办
peel|n.果皮; vt.剥落；削皮; vi.脱皮；脱衣服
plenty|n.丰富；大量；充足; adj.充足的；相当多的; adv.非常；充分
pretend|v.假装；装作；自以为
pen|n.钢笔；笔；写作；围栏；雌天鹅; v.写；把…关在圈中
original|adj.原始的；最初的；有独创性的；原版的; n.原版；真品；怪人；有独创性的人; n.起源
pocket|n.口袋；袋子；球袋；钱；小块地方；在...掌握之中；保障金; adj.小型的；孤立的；局部的; v.装…在口袋里；私吞；击(球)落袋
pretty|adv.相当地; adj.漂亮的；秀丽的；好看的; vt.使漂亮; n.漂亮的东西；美人
pencil|n.铅笔；笔状物; vt.用铅笔写
other|adj.其他的；另外的；另一个；另一边; pron.其他(人或物); n.其他人(或事); adv.以其他方式
poem|n.诗；韵文
prevent|v.预防；防止，阻止；挡住
penny|n.便士；【美】分
our|adj.我们的
price|n.价格；代价；价值; v.给…定价；估价；贴价格标签；比较价格
point|n.观点；看法；要点；重点；特点；点；地点；小数点；尖端；岬角；海角；意义；目标；分数；(罗盘上的)方位点；(温度的)点；插座；(字体)磅值; v.指；指向；朝向；瞄准；灰泥或水泥勾（某物）的砖缝
people|n.人；人民；人们; v.使住人；居住于
ours|pron.我们的
polar|adj.两极的；对立的; n.极线；极性
pride|n.骄傲；自豪；自尊心；引以自豪的东西; vt.以...自豪
percent|n.百分比; adv.百分之...; adj.百分之...的
ourselves|pron.我们自己
police|n.警察；警方; v.维持治安；管辖；监督
primary|adj.首要的；主要的；初级的；初等教育的；根本的；初期的; n.第一位；初选；最主要者；要素；原色；初级线圈
perfect|adj.完美的；完全的；完满的；十足的；理想的; vt.使完美；使完全
out|adv.出；在外；完; prep.向外；在外面; v.出来；暴露；驱逐；熄灭；伸出；公开…的同性恋身份
print|v.印刷；出版；打印；铭刻; n.印刷字体；版画；印刷；印记；印刷物；印花; adj.印刷的
polite|adj.有礼貌的；客气的；有教养的；文雅的
perform|v.执行；履行；表演；运转；举行
outdoor|adj.户外的；野外的；露天的；喜爱户外活动的
pollution|n.污染；污染物
prison|n.监狱；监禁; vt.囚禁；关入监狱
perhaps|adv.也许；可能
outgoing|adj.外向的；即将离职的；出发的
private|adj.私人的；个人的；私下的；私有的；缄默的; n.士兵；列兵
period|n.一段时间；周期；时期；课时；学时；句号；月经
outside|adv.在外面; n.外面; adj.外部的; prep.在...外边
prize|n.奖品；奖金；奖赏; vt.珍视；估价; adj.奖品的；得奖的；一流的
pool|n.水塘；游泳池; n.共同储金；联营；美式撞球; v.共用；汇集
permission|n.许可；允许；同意
outstanding|adj.优秀的；突出的；未支付的；未完成的
pro|n.能手；行家；正面; adj.专业的；赞成的; adv.正面地; prep.赞成
poor|adj.可怜的；贫穷的；低劣的; n.穷人
person|n.人；本人；身体
over|prep.在...的上方；遍及地；在...期间; adv.穿过；完全覆盖；结束；落下; n.(板球中)每个投球手一次连续所投出的球数
pop|v.发出(砰的响声)；取出；突然行动；突然出现；爆开；睁大；开枪; n.流行音乐，流行艺术；爆裂声；爸爸; adj.通俗的；流行的；热门的
probably|adv.大概；或许；很可能
pet|n.宠物；受宠的人; adj.宠爱的; v.爱抚；亲抚
overseas|adj.海外的; adv.在海外
problem|n.问题；难题；习题; adj.成问题的；难对付的
popcorn|n.爆米花; adj.（无艺术含量或智慧的事物）流行的
own|adj.自己的；特有的; n.自己的东西; v.承认；拥有
popular|adj.受欢迎的；通俗的；流行的；大众的
photo|n.照片; v.拍照
owner|n.所有人；物主
product|n.产品；产物；结果；某种影响下产生的人或物；乘积
popularity|n.普及；流行；名望；受欢迎
photograph|n.相片; vi.拍照，摄影；被照相; vt.给...照相
pack|n.一群；一副；包裹；一包; v.包装；解雇；塞满；收拾行李；佩戴
population|n.人口；(全体)居民；群体
professional|adj.职业的；专业的；专门的; n.专业人员
phrase|n.短语；习语；措辞；[音]乐句; vt.措词；将(乐曲)分成乐句
page|n.页；页码；侍从; vt.给...标页码; vi.翻页
program|n.节目；计划；程序；课程；节目单; vt.编制程序；安排；指定
pork|n.猪肉
physics|n.物理学
pain|n.痛苦；疼痛；辛苦；烦人之人或事; v.使...痛苦；痛苦；疼
progress|n.进步；发展；前进; v.进步；发展；缓速前进；促进
porridge|n.粥；麦片粥
pair|n.一对；一双；一副; v.（使）成对；（使）配对
project|n.计划；工程；项目；课题；专题研究；住房工程; v.计划；预计；设计；放映；投射；表达；突出；投掷
position|n.位置；职位；立场；状态; vt.安置；定位
picnic|n.野餐；愉快的时间；猪脊肉; vi.野餐
pancake|n.薄煎饼; v.（使）平坠着陆；（使）平展
promise|n.诺言；预示；约定；(有)希望; v.允诺；发誓；答应；有希望
positive|adj.积极的；肯定的；明确的；正面的；正数的；阳性的; n.正面；正数；正片；[语]原级
picture|n.照片；影片；描述；图画; vt.想像；画；拍照
panda|n.熊猫
pronoun|n.代词
possible|adj.可能的；尽可能的；合理的; n.适合候选的人
pie|n.馅饼；饼图; n.喜鹊；爱说话的人(=magpie)
paper|n.纸；文件；报纸；论文；票据；壁纸; v.用纸包；用纸糊；贴壁纸; adj.纸制的；似纸的；有名无实的
pronounce|vt.发音；宣告；宣判；断言; vi.发音；发表意见
possibly|adv.可能地；也许
piece|n.件；篇；片；块；作品；碎片; v.修补；拼合，凑合
parent|n.父母；根源; v.抚养；产生
proper|adj.合适的；正当的；真正的
post|n.职位；邮件；标竿; v.邮递；通知；布置；派遣；急行; adv.快速地
pierce|v.刺穿；穿透；洞悉; Pierce.; n.皮尔斯（人名）
Paris|n.巴黎；重楼（百合科植物）；帕里斯（姓氏）
protect|v.保护；投保
pink|adj.粉红色的; n.粉红色
park|n.停车场；公园；园区；(球类)运动场; v.停车；停放；置于
proud|adj.自豪的；自尊的；自傲的；壮观盛大的
poster|n.海报；装饰画；急行旅人
pioneer|n.先锋；开拓者；先驱; v.开辟；首倡
parrot|n.鹦鹉；盲目重复或模仿他人行为的人; vt.学舌；盲目重复或模仿
prove|v.证明；检验；结果是；发酵
postman|n.邮递员; =mailman.
pity|n.怜悯；同情；遗憾；可惜; v.同情；怜悯
part|n.部分；零件；角色；部位; v.断裂；分离；离开；分开；不赞成; adv.部分地; adj.分离的（-前缀）
provide|v.供给；提供；准备；规定；抚养
potato|n.马铃薯；土豆
place|n.地方；地位；职位；获奖的名次; v.将（某物）放置；安排；订货；寄托；辨认；获得名次
particular|adj.特定的；专指的；特殊的；特别的；挑剔的; n.详情；细节
province|n.省
pound|n.磅；英镑; n.（汽车）扣押所；宠物收留所; vt.捣碎；敲打；连续猛击; vi.咚咚地走；怦怦地响
plain|adj.清楚的；简单的；坦白的；平常的；朴素的；纯的; n.平原；广阔的区域; adv.完全地；纯粹地
partner|n.伙伴；搭档；伴侣；合伙人; v.同...合作；做...的搭档
public|adj.公众的；公共的；公开的; n.民众；公众；大众
pour|v.不断流动；倒；倾泻；蜂涌而来; n.倾泻
plan|n.计划；方法；策略；设计图；平面图; v.打算；安排；计划；设计
party|n.聚会；宴会；政党；一伙人；[律]当事人; vi.开派对
pull|v.拉；拖；牵；拔；吸引; n.拉；拉力；引力；划船；影响力
practice|n.练习；实行；习惯；业务; v.练习；实践；开业；执业
plane|n.飞机；水平；平面; n.刨子; n.悬铃木; adj.平的；飞机的; vt.磨平；刨; vi.（鸟、飞机）滑翔
pass|v.通过；经过；度过；传递；发生; n.通行证；及格；乘车券；传球；关隘，山口
punish|vt.惩罚；粗暴对待; vi.处罚
praise|vt.赞美；称赞; n.赞美；称赞；崇拜; vi.赞美
planet|n.行星
passage|n.通过；通道；走廊；(文章等的)段落；(时间的)消逝
pupil|n.小学生；弟子；【解】瞳孔
predict|v.预言；预报；预知；预测
plant|n.植物；工厂；设备；设施; v.种植；设立；建立；安插；栽赃
passenger|n.乘客；旅客
purple|adj.紫色的；辞藻华丽的; n.紫色；皇室
prediction|n.预言；预报
plastic|n.塑料；塑料制品；信用卡; adj.塑料的；可塑的；造型的；易受影响的；整形的
passport|n.护照；手段
purpose|n.目的；决心；意图；议题; v.打算；决意
prefer|vt.宁可；较喜欢；提出（控告）
plate|n.碟；金属板；板块；盘; vt.电镀；用金属板固定；为...制印版；给...装钢板
past|prep.过；经过; adv.过; adj.过去的; n.过去；昔日；过去的事情；过去的经历；往事
purse|n.钱包；小钱袋；(获奖)奖金; vt.皱起；放进钱包
prepare|v.预备；准备
path|n.路线；小路；小径；轨道；路程
play|v.玩；比赛；（在运动队中）担当；派...出场；带；踢；击（球）；走（棋子）；出牌；演奏；播放；扮演；假装；上演；发挥（作用）；应付；处理；掠过；浮现；使轻快地活动；（喷泉）喷涌；做游戏; n.游戏；戏剧；比赛；发挥作用；玩笑；间隙；闪烁；闪现
present|n.礼物；现在; adj.出席的；现在的；当前的；存在的; v.提出；赠送；呈现
player|n.比赛者；演奏者；演员；播放器；游戏的人
pay|v.支付；赢利；受益；付出代价; n.薪资；雇用；有良好信用的人; adj.要钱的；具有开采价值的
put|v.放；安置；使处于；提交；记下；表达；出发；开航; n.推铅球；期货买卖
president|n.(国家)总统；(公司)总裁；校长；总经理；社长
peace|n.和平；安静
pleasant|adj.令人愉快的；讨人欢喜的；舒适的；宜人的
my|adj.我的（I的所有格形式）; int.哎呦（用于表示惊讶的感叹词）
might|aux.可能；也许；may的过去式; n.威力；力量
nose|n.鼻子；突出部分；嗅觉; v.嗅到；探听
many|adj.许多的; pron.许多人或物; n.许多；许多人
myself|pron.我自己
not|adv.不；没有；并非
mile|n.英里；海里；一英里赛跑
map|n.地图; vt.绘制地图；计划
mysterious|adj.神秘的；不可思议的
milk|n.奶；牛奶；乳汁; v.挤乳；产乳；榨取
note|n.笔记；便条；纸币；音符；票据；注解；音调; vt.注意；记录；注解
marathon|n.马拉松；耐力比赛
mystery|n.谜，神秘；奥秘；秘密；神秘的人或事物；推理小说（戏剧）
million|n.百万；群众; adj.无数的；百万的
notebook|n.笔记本；笔记本电脑
march|n.行军；行进；游行示威；稳步前进；进行曲; v.行进；前进；进发；使同行；游行示威; March; n.三月
name|n.名称；姓名；名义；名誉；名人; v.命名；取名；说出(...的名字); adj.著名的
mind|n.头脑；精神；心；想法；意见；心思；注意力；有才智的人；记忆；心情；理智；[宗]追思弥撒；上帝; v.留心；注意；专心于；介意；照顾
nothing|pron.没有什么; n.没有；空；微不足道的事; adv.毫不；一点也不
mark|n.记号；痕迹；分数；商标; v.弄污；打分；留意；做标记
national|adj.民族的；国家的；全国性的；国立的；国有的; n.国民; （复）nationals:全国性比赛.
mine|pron.我的; n.矿；地雷；矿藏; v.采矿；用地雷炸
notice|vt.注意；留心；通知; n.通知；注意；布告
market|n.市场；集市; v.销售；推销；买卖
native|adj.本国的；本土的；当地的; n.土著；本地人；本国人
November|n.十一月
minute|n.分钟；片刻；备忘；会议记录; adj.微小的；仔细的; vt.记录
marriage|n.结婚；婚姻；紧密结合
natural|adj.自然的；天然的；私生的
now|adv.现在；立刻; conj.既然(与that连用); n.现在；此刻; adj.目前的；现存的; abbr.全国妇女组织(=NationalOrganizationofWomen)
mirror|n.镜子；反映; vt.反映；反射
marry|v.娶；结婚；嫁；结合
nature|n.自然界；性质；自然；自然状态；本性；类型
misleading|adj.令人误解的；引入歧途的; 动词mislead的现在分词.
number|n.号码；数量；数字; v.总计；编号；编号；把...算作
mars|n.火星；[罗神]战神
near|adj.近的；近似的；亲近的；吝啬的; adv.在附近；不久以后；几乎；[罕]吝啬地; prep.附近；接近；临近；大约；(质量、大小等)相仿；濒临; v.接近；靠近
miss|n.[M-]小姐; vt.想念; vt.错过；漏掉
nurse|n.护士；保姆; v.看护；护理；栽培
master|n.主人；硕士；专家; vt.控制；精通; adj.主要的；主人的；精通的
nearby|adj.附近的; adv.在附近
mistake|n.错误；误会；过失; v.误解；弄错
match|n.对手；火柴；比赛；配偶；般配的人; v.相配；和...相配；相一致；较量
necessary|adj.必要的；必然的; n.必需品
obey|v.服从；遵守；顺从；听从
mix|v.混合；掺入；合成；联系；融合；介入; n.混合(物)；融合
material|n.材料；原料；素材；资料；题材；物质; adj.物质的；重要的；关键的；肉体上的；实质性的
neck|n.颈；脖子; v.搂着脖子亲吻；（使）变窄
mixture|n.混合；混合物
object|n.物体；目标；对象；宾语; v.反对；提出...作为反对的理由
need|v.需要；必需; n.需要；必要；缺乏; aux.需要，必须（无时态、人称变化，后与不带to的动词不定式连用，多用于疑问句和否定句）
ocean|n.海洋；海量
model|n.模范；模特儿；模型; adj.模范的；作模型用的; v.做模型；模仿；塑造
matter|n.事情；事态；问题；关于...的事情；物质；重要性; v.有关系；要紧
negative|adj.否定的；消极的；负面的；负的; n.否定；反面意见；底片；[数]负数; vt.否定
modern|adj.现代的；时髦的; n.现代人；时尚人士
October|n.十月
may|aux.可以，能够；可能，也许；祝，愿；会，能; n.[大写]五月
of|prep.关于；...的（表所属）；出身于；由于
neighbor|n.邻居；邻国; v.邻近
modest|adj.谦虚的；适度的；端庄的；有节制的
maybe|adv.或许；也许；可能
neither|pron.两者都不; adj.两者都不的; adv.也不; conj.也不；既不
off|adv.表示状态的关闭或离开; prep.离开；在...之外; adj.空闲的；离开的；关闭的; v.离开；脱下
mom|n.妈妈; abbr.月中(=middleofmonth); abbr.会议纪要(=MinutesofMeeting)
me|pron.我(宾格)
offend|vt.冒犯；犯罪; vi.违反；令人不适
nervous|adj.神经的，神经细胞的，神经性的；焦虑的；神经质的，紧张的，不安的；易兴奋的
meal|n.一餐；膳食; n.粗碾的谷物
moment|n.片刻；瞬间；力矩；非常重要的时机；准确时刻
net|n.网；网状物; adj.净余的；纯粹的
offer|vt.提供；提出；（卖方）出价；贡献; vi.提议；出现；求婚; n.提议；出价
Monday|n.星期一
mean|v.意思是；打算；导致；意味; adj.低劣的；刻薄的；卑鄙的；出色的；吝啬的；平均的；中等的; n.平均值；平均数；中间；中庸
never|adv.永不；绝不；从不；未曾
office|n.办公室；职务；事务；（政府部门的）部、局、厅；有特定用途的房间或建筑物
money|n.财产；钱；货币
meaning|n.意义；含义；重要性；价值; adj.意味深长的
monkey|n.猴子；猴一样的人; v.嘲弄；胡闹；模仿
meat|n.肉；主要或重要部分
new|adj.新的；崭新的；新鲜的；不熟悉的; adv.新近地
often|adv.经常；时常；屡次
monster|n.怪物；恶人；巨物; adj.巨大的；庞大的
medal|n.奖章；勋章；纪念章; vi.获得奖章
newspaper|n.报纸；新闻纸
oil|n.油；油画颜料；奉承话; v.涂油；溶化；加油
medical|adj.医疗的；医学的；医药的；内科的
month|n.月，月份
next|adj.下一个的；其次的；隔壁的; adv.其次；下次；然后; n.下一个; prep.靠近
medicine|n.药；医学
old|adj.老的；过去的；旧的，破旧的；...岁的; n.旧时
nice|adj.好的；美妙的；友好的；令人愉快的；精细的
moon|n.月亮；月球; v.闲逛；虚度；露光臀示人
medium|adj.中等的；适中的; n.手段；媒介；媒体
more|pron.更多的；另外的；更大的; adv.更多；再；另外；进一步
night|n.夜晚; adj.夜晚的
on|prep.在...之上；由...支撑着；在（某一天）；关于；基于; adv.穿着；向前（移动)；表示持续性; adj.表示已连接、处于工作状态或使用中；发生；值班
meet|v.遇见；满足; n.运动会；集会; adj.合适的
morning|n.早晨；上午；开端
nine|num.九
once|adv.一次；曾经; conj.一旦; n.一次; adj.曾经的
meeting|n.会议；集会；汇合; 动词meet的现在分词.
most|adj.最多的；大多数的; adv.最；最多；极其; pron.大多数；大部分; n.最多
nineteen|十九
one|n.一；一个；一体; adj.一个的；某一个的；唯一的；同一的; pron.任何人；某人
member|n.成员；会员；部分
mother|n.母亲；妈妈; adj.母亲的；母体的；本源的; vt.生育；像母亲一样关爱
nineteenth|num.第十九
oneself|pron.自己；自身
memory|n.记忆力；回忆；记忆；[计]存储
mountain|n.大量；山；山脉；高山
ninety|num.九十
onion|n.洋葱
mend|vt.修理；修补；改进; vi.改过自新；改进；痊愈; n.修补；改进；修补处
mouse|n.老鼠；胆小如鼠的人；鼠标; v.捕鼠；仔细搜寻；移动鼠标至...之上
ninth|num.第九；九分之一
online|adj.联机的；在线的; adv.在线地
mention|vt.提到；说起; n.提及；说起
mouth|n.嘴；口；开口；河口; v.不出声说；装腔作势地说；喃喃地说
only|adv.只有；仅仅；刚刚; adj.最好的；唯一的；出众的; conj.但是；除非；然而；毕竟
nobody|n.无足轻重的人；小人物; pron.没有人
menu|n.菜单
move|n.移动；步骤；迁居；动作; vt.推动；使移动；使...感动；提议; vi.移动；搬家；采取行动
noise|n.噪声；喧闹声；响声; vt.谣传; vi.大声说话；发出噪音
open|adj.开着的；开放的；公开的; v.打开；张开；展开；摊开；开始(某事物)；开张；营业；以…开头；宣布启用; n.户外；公开
mess|n.混乱；混杂；脏乱；一份食品；粪便；（军队的）食堂; v.弄糟；弄乱；妨碍
movie|n.电影
none|pron.没有人；没有任何东西，一个也没有，毫无; adv.决不
opera|n.歌剧; n.挪威Opera软件公司的浏览器软件
