brow|n.前额；眉毛；山脊；表情
snug|adj.温暖舒适的；合身的；安全的; v.使整洁干净；舒适地依靠；紧贴; n.酒吧里的私房
feh|n.希伯来语的第十七个字母(peh的异体)
dribble|vt.使...慢慢流下；运球；细流；流口水; n.少量；细流
stroll|n.闲逛；漫步; v.闲逛；漫步
poke|n.戳；刺；拨；钱袋; v.戳；捅；刺；拨开；伸出
bonding|n.形成的亲密关系；[牙]黏结
trident|n.三叉戟; adj.三齿的
soul|n.灵魂；心灵；精神
milky|adj.乳状的；乳白色的
chugged|vi.不均匀燃烧(功率突变)
prickly|adj.多刺的；棘手的；易生气的
barbell|n.杠铃(一种举重用的运动器械)
commence|v.开始；着手；获得学位
lugging|超载运转能力
fertile|adj.肥沃的；富饶的；能繁殖的；多产的；（创造力）丰富的
dire|adj.可怕的；悲惨的；极其的
vicious|adj.恶毒的；恶意的；剧烈的；堕落的
immediate|adj.直接的；最接近的；立即的；目前的
routine|n.例行公事；常规；无聊; adj.常规的；例行的；乏味的
squeaky|adj.吱吱响的；发轧声的；短促尖声的
medusa|n.水母; Medusa.; n.美杜莎(古希腊神话中3位蛇发女怪之一)
drawstring|n.带；细绳
shaft|n.柄；竖井；杆状物；矛；轴；（一道）光线; vt.苛刻地对待；装杆于
hint|n.暗示; v.暗示；示意
formerly|adv.以前；从前
gullet|n.食道；咽喉；海峡
grit|n.砂砾；粗砂石；勇气；决心; vt.覆以砂砾；咬紧牙关; vi.发出刺耳声
dripped|v.滴
doggie|n.小狗；狗；汪汪; adj.狗的；像狗一样的; =doggy.
mythological|adj.神话学的；神话的
starry|adj.星光照耀的；闪亮的
torus|n.花托；花床；圆环面
steaming|n.汽蒸(蒸烘)
pail|n.桶；一桶之量
torch|n.手电筒；火炬；火把；纵火犯; v.纵火
roar|v.吼叫；咆哮; n.吼声；咆哮；轰鸣；喧闹
whirl|v.使...旋转；回旋；迅速移动；头晕目眩; n.回旋；旋转；一个接一个的活动；混乱；尝试
dwell|vi.居住；存在；冥想；详细阐述
derma|n.真皮；皮肤
parchment|n.羊皮纸；仿羊皮纸
poled|adj.连接的(接入的)
rack|n.行李架；（放衣物、碗碟等的）架子；拷问台；折磨；（比赛开始前固定球位置的）三角框; vt.使痛苦；把...放在架子上；累计取得
eternal|adj.永久的；永恒的; n.永恒的事
summon|vt.召唤；召集；振奋
minor|adj.轻微的；较小的；次要的; n.未成年人；辅修科目；[音]小调; v.辅修
fasten|vt.拴紧；使固定；系；强加于; vi.固定；系紧；抓紧
paled|围栅的
whistle|n.口哨；汽笛；警笛; v.吹口哨；鸣汽笛；呼啸；吹口哨召唤
sniff|vi.嗅；嗤之以鼻；找出; vt.嗅到；吸入；嗤之以鼻地说; n.嗅；吸气；气味
enormous|adj.巨大的；庞大的
bald|adj.秃头的；单调的；无装饰的; v.（使）变秃头
banquet|n.宴会; vi.参加宴会; vt.宴请；设宴
mellow|adj.成熟的；醇的；熟练的; v.（使）变熟，（使）柔和
carpentry|n.木工手艺；木工作品
uncles|n.叔伯
spelling|n.拼法；拼写
imaginable|adj.可想像的；可想到的
liar|n.说谎者；骗子
plesiosaurs|蛇颈龙类
retreat|n.撤退；改变；隐居处; v.撤退；改变；退避；缩回象棋的棋子
fireplace|n.壁炉
hoot|n.鸣笛声；猫头鹰叫声；一点点；好笑的人或事; v.大声叫嚣；(汽笛、喇叭等)呜呜作响；哄赶
squat|v.蹲下；蹲坐；擅自占地; adj.蹲着的；矮胖胖的；低矮的; n.蹲；擅自占用的土地
recline|v.躺；靠在；斜倚；倚靠；依赖
lyre|n.里拉（古希腊一种七弦琴）
scenery|n.风景；背景；布景
cuff|n.袖口；手铐; n.巴掌; v.为...上袖口；带手铐; v.轻拍；掴
invincible|adj.不可征服的；不能战胜的
marketplace|n.集会场所；市场
faraway|adj.遥远的；远方的；(神情)恍惚的；出神的
underdog|n.处于劣势的一方；牺牲者；受害者；输家
lumber|n.木材；木料; v.伐木; vi.缓慢地移动; vt.拖累
blob|n.小圆块；小斑点；一滴; v.弄脏
charming|adj.迷人的
commute|v.通勤；折换；减刑；改变；交换; n.乘车上下班
hush|n.肃静；安静；沉默; vi.安静下来；掩饰; vt.使肃静或安静；缄默
owe|vt.欠（债；钱；人情等）；应当给予；感激；把...归功于
shortie|n.矮子；特别短的东西(尤指衣；裤)
disguise|vt.掩饰；假装；假扮; n.伪装；伪装物
uncover|vt.揭开；揭露
howling|adj.咆哮的；哭哭啼啼的；寂寥的
cornmeal|n.玉蜀黍粉；玉米片；麦片
blast|n.爆炸；巨响；一阵(强风)；严厉的批评；愉快的经历; v.爆破；摧毁；发出巨响；用力撞击；批评
rumble|n.隆隆声；辘辘声; n.(旧式汽车车厢后的)折叠加座; 打群架; v.发隆隆声；使辘辘响
yakking|抱怨,喋喋不休
stall|n.栅栏；小隔间；货摊；座位; v.把...关进畜舍里；失速；熄火；拖延；（使）动弹不得
crouch|v.蹲下；屈膝; n.蹲伏；蜷缩
carcass|n.尸体；残骸；骨架；(人的)身躯
mankind|n.人类；男人
supporter|n.支持者；拥护者；支撑物
bodysurf|人体冲浪
peacefully|adv.平静地；和平地
goblet|n.高脚杯；酒杯
jealous|adj.妒忌的；羡慕的；嫉妒的
hiss|n.嘘声；嘶嘶声; v.发出嘘声（表示不满）；发嘶嘶声
teensy|adj.很小的；小的; =teeny.
wickedly|adv.心眼坏地；居心叵测地
sake|n.理由；缘故；目的；利益
grunt|v.咕哝；（猪等）打呼噜; n.咕哝；呼噜声
ghost|n.幽灵；鬼魂; n.[计]美国赛门铁克公司旗下的硬盘备份还原工具
tee|n.字母t；形状像字母T的东西; [游戏]目标.; [高尔夫球]发球的球座.; v.将（高尔夫球）置于球座
livestock|n.家畜；牲畜
skelter|vi.急匆匆地跑；往前冲
intensive|adj.密集的；彻底的；精细的；强调的; n.(语法)强调成份
thoughtfully|adv.深思地；考虑周到地；细心地
barf|v.呕吐
exquisite|adj.精挑细选的；精致的；细腻的；强烈的; n.过分在意外表着装的人
smoothly|adv.平滑地；流畅地
squash|n.壁球；摺皱不堪；拥挤嘈杂的人群；浓缩果汁；美国南瓜; vt.压制；压扁; vi.变扁；挤进
slap|n.侮辱；掴；拍击声; vt.侮辱；拍击；惩罚；申斥; adv.直接地；正面地；突然地
exclaim|v.大叫；呼喊；大声说出
ooh|int.噢；呵(表示惊讶、欣喜、痛苦等); vi.以高兴（惊喜等）语调说
limp|n.跛行; adj.柔软的；无力的；软弱的; vi.跛行；蹒跚
rummage|v.到处翻寻；搜出；检查; n.翻箱倒柜的寻找；临检
colossal|adj.巨大的；异常的
sizzle|v.(油煎食物时)发出咝咝声；嘶嘶作响; v.使...烧得咝咝作响; v.表现极好; n.咝咝的声音
snarl|v.吼叫；嚎叫；咆哮；怒骂; v.纠缠；混乱; n.咆哮; n.混乱；缠结
etna|n.酒精灯煮水器
lioness|n.母狮子
crack|v.破裂；砸开；发出爆裂声；撞击；破解；变嘶哑；崩溃；制裁；开玩笑; n.裂缝；裂痕；爆裂声；猛击；尝试；俏皮话; adj.训练有素的
plop|n.扑通声; v.(使)扑通掉下
jailhouse|n.监狱
detached|adj.超然的；分离的；独立的
godly|adj.敬神的；虔诚的；神的
tails|n.(硬币的)反面
sorrow|n.悲伤；悲痛；懊悔；伤心事; vi.悲伤；惋惜；悔恨
positively|adv.极其；绝对地；十分肯定的；坚定的
huh|int.哼!哈!(表示轻蔑、吃惊或疑问)
hip|n.臀部；髋；屋脊; adj.时髦的；通晓的; int.（欢呼声）嘿
clink|n.牢房；叮当声; v.(使)叮当响
spiral|n.螺旋；螺旋形之物；不断恶化、增加或减少; v.螺旋移动；盘旋上升；不断恶化、增加或减少; adj.螺旋形的；盘旋的
growl|n.吠声；咆哮声; v.怒吠；咆哮；吼
foamy|adj.起泡沫的；泡沫的
imprison|v.监禁；关押；束缚
apiece|adv.每人；每个；各
ultimate|adj.根本的；极限的；最后的；终极的; n.终极；极品；根本
freshwater|adj.淡水的；内河（航行）的; n.淡水
paddle|n.桨；划桨；明轮翼; v.划桨；戏水；抚弄
shaker|n.摇动者；摇动器；搅拌器; Shaker：adj.；夏克尔风格的
archery|n.箭术
proudly|adv.傲慢地；自大地；得意洋洋地
spewing|压出,榨出,吐花,吐毛
gerbil|n.沙鼠
enlighten|v.启发；开导；教导
fling|vt.投；粗暴地推向...；猛冲；激动地说；全身心投入; n.投掷；一时的行乐；漫不经心的一段(尝试或感情); vi.急冲；(动物)猛跳
spurt|v.喷出；冲刺; n.喷出；突然一阵；(营业的)突然兴隆；突然高涨
plentiful|adj.丰富的；多的；充裕的
eldest|adj.最年长的；最老的
scaly|adj.有鳞的；剥落的；被虫蛀的；卑劣的
pluck|v.摘；猛拉；拔；拨弹（乐器）; n.猛拉；勇气；动物内脏
buffet|n.自助餐；饮食柜台；打击; vt.连续猛击；打击
stitch|n.一针；疼痛；碎布条; v.缝合
herbal|adj.草本植物的; n.(草本)植物志
bye|int.再见
plesiosaur|n.蛇颈龙
maple|n.【C】枫树；槭树; n.【U】枫树干
